natural writing sample,imitation,imitation condition,message type
"Dear Friend,\n\nApologies, but I had to cancel our meet. Something came up at work and I have to sit down and really put my nose to the grindstone for, like, hours. It's not something I want to do and it's gross but it happens, you know. Let's reschedule. There's a good place to drink near my house, maybe 2 people present on a good night. Let's hang. ", ,,email
"Dear Boss, \n\nI've been working very hard for very long and under pretty nutty conditions. I tolerate it when I'm called in on weekends, outside of work hours, and even when I'm asked to go unpaid. It's fine, I don't have a problem with that. But I have to be paid much more for what I've done and what I'm willing to do. There has to be an immediate renegotiation of salary or my two weeks is in hand.", , ,email
"Baby Driver has one of the best soundtracks in decades, the way music flows and stops so effortlessly and to support the machinations of the plot, the smooth mixing of Baby's character and anxiety into pop, awkward 50s beats and ragtime and how his cool demeanor is more of a facade than anything. It's so good.", , ,email
"Congratulations. You worked hard on it, really hard, harder than most, and you deserved it a lot sooner. There's not much else I can say, lol, other than you deserved more faster. But you know that and they know that so your ascendancy to CEO is all over but the crying. It's great stuff, just don't forget me when you're in your premium condo.", , ,email
participant2,,,email
I am having such a terrible day today because to start off when i went to get gas before going to work the gas handle did not stop and gas got all over me. I had to rush home to shower and change and then i was late to work and a meeting. this ruined my whole day. ,Hi Sarah. Congratulations on becoming President. I always knew you could do it. I am so proud that you are our country's first woman in the Oval Office. I know you will lead our country to new heights of greatness. I can't wait until you make sure all Americans have access to affordable health care.,cond3_p1_t7 : Hi Sarah. Congratulations on becoming President. I always believed you could do it. I am so proud that you are our country's first woman in the Oval Office. I know you will make lead our country to new heights of greatness. I can't wait until you make sure all Americans have access to affordable health care.,email
I am going to be late because this morning when i went to put gas in my car the handle did not stop causing gas to gush out everywhere and get all over me.  I have to rush home and shower and change and ill be on my way to join the meeting., ,,email
"Dear Joan Crawford,\n\nI am such a huge fan of yours that i just wanted to tell you that i appreciate all you do and the work that you do. I would like to know more from before you became famous, like your childhood, and up until the point you \", , ,email
"Honey, i was reading up on this vacation package on a viking cruise. I think it would be really awesome if we could do something like this and see other parts of the world from a beautiful cruise boat.  the prices are not unreasonable and we can afford it. ", , ,email
I am going to be late to the meeting because last night there as a storm and it knocked my alarm clock out and it did not go off causing me to oversleep.  I am getting ready now to get to this meeting as soon as I can.  I apologize for the inconvenience. , , ,email
participant3,,,email
I need to cancel our plans for this weekend because one of my children is sick and I need to stay at home to take care of them. I feel bad as I was looking forward to this event but it's important for Johnny to recover from this illness.  Could we maybe reschedule for sometime the following weekend?,Hi Emily. Congratulations on this great milestone of making the Olympic team. I know that this goal is a result of the dedication and effort you made every day with figure skating. I am so proud that you accomplished your goal and that you will be representing us and I will be there rooting for you.,"cond3_p1_t4 : Hi Emily. Congratulations on making the Olympic team. I know you have been practicing figure skating almost your entire life and have been dreaming of this moment. Well, you have finally made it. I am confident you will represent our country proudly and bring home a gold medal. I plan to be there watching you.",email
. I thought that you really captured the essence of the character.  Your performance inspired me to pursue my own career in the performing arts. I really hope that you continue to share your amazing performance skills with us in the future., ,,email
I want to congratulate you on achieving your goal.  I know that you worked so hard on this project and you definitely deserve this recognition.   I have been inspired in my own life as a result of the way that you worked every day to accomplish this goal and I'm so proud of the example that you set., , ,email
Thank you so much for your thoughtfulness and generosity with this amazing gift. I was so surprised when I opened the package as it was so unexpected.  I know that I will definitely use this gift every day and that I will get a lot of enjoyment out of it.  Thank you so much again for thinking of me!, , ,email
Thank you for this amazing present.  I am so honored to be your friend and I cherish every day that I get to enjoy your friendship and camaraderie.  This present was such a creative idea and I can't think of anyone else that could have come up with such a cool and innovative idea. Thank you so much!, , ,email
participant4,,,email
"Ya know, my favorite season is Winter. I love not being too hot or worry about showing my flab. I mean, don't get me wrong, Spring is nice with all the green and growing stuff, but seriously, Winter is awesome. When else is it ok to curl up and ignore the world? That totally makes me crave a hot chocolate... ","You know, I would love to have a barbecue with the family and friends this year. That would be awesome, I'd love that so much! Oh, you know...could you bring my favorite dessert? That would be the best present you could give me! You know how much I love it! And it would rock at the barbecue! For sure!","cond12_p3_t4 : For my birthday this year, I am thinking about having a barbecue with the family and have some friends over. You can bring my favorite dessert if you want to. That would be the best present that I could get. You know how much I love it, and it would go great with the meal.",email
"Hello Sir,\nAfter the extremely positive performance appraisal you discussed with me this past week, I felt I needed to approach you. I have been with the company for 26 months and have performed exemplary the entire time. I am prompt, hard-working, and I use the Oxford comma appropriately. If you could, Sir, consider boosting my salary commiserate to my performance?", ,,email
"Good going, Girl! I am so proud of you! I is wonderful to hear that you accomplished what you worked so hard to achieve. In the beginning, you were so unsure if you could pull it off, but Girl, you have worked your heart out for this! And you did it! Congratulations, Love, you deserve this. One hundred percent!", , ,email
"Dear Mom and Dad, I really do appreciate what you've done for me. I know it was a stretch for you and that you had to think incredibly hard about whether or not you'd be able to help me out. I know this. And I am very grateful. Rest assured that I will cherish your warm and caring gesture forever. Thank you. ", , ,email
"Neil, I know you hear this all the time, but I had to express to you just how much your work means to me. On every level you are an inspiration, a leader, and a mentor, whether you are aware of it or not. Your works are magnificent and awe-inspiring and they have impacted my life in a wonderful way.", , ,email
participant5,,,email
"It was amazing, the food was great and so unique. But honestly, their wood fired broolyn style pizza took the cake. It was to die for. Also, the people there were different than down south, but not the rude mean northerner type that you hear about down here from time to time. There was a lot of music and art displayed out on the streets which was really cool.","Hi Kaitlyn. I cannot believe it is already June. I love the summer most of all. It is my favorite. I love going to the beach and feeling the sun on my face. I hope we have a long and warm summer. I can't wait to take my dog to the beach and play frisbee there. I may even enter him into a contest, summer is so fun.",cond9_p1_t10 : Hi Wanda. I can't believe winter is finally here. It is my absolute favorite season. I love the holidays. Christmas is my favorite.  I love all the snow too. I hope we get tons of it this year. I can't wait to build the biggest snow fort humanity has ever seen. I'll contact Guiness because I am sure it will set a world record.,email
"Thank you both so much. I really appreciate it, and yall did not have to do that at all. It means so much to me though that you would think of me that way, and go out of your way during your busy days to send me this. It really will go a long way and it means more to me than you know. I love you both and I am so grateful for parents like the both of you.", ,,email
"The culture there was intriguing. People were dancing in the streets, and it was very diverse. The food even was too. On every corner there were at least 4 completely different types of authentic restaurants. It was a great eye opening experience, and I honestly feel more cultured just from spending a few days there. 10/10 recommend visiting!", , ,email
"Thank you mom and dad. For everything. But mostly for loving me and caring for me and always providing for my needs. It means more to me than you know, and I know I can never repay for you all you have done, all you do, and all you will do. I only hope that I can do the same for my own children some day.", , ,email
"I see myself married and graduating from graduate school with my masters degree. I see myself buying a house and possibly moving to a new city for a new job with my husband. I see us having the conversation about having kids of our own and starting a family together. Most importantly, I see myself happy and successful and loved.", , ,email
participant6,,,email
"Hi Mom and Dad,\n\nThanks for helping me out with the graphics card. I know it seems like a frivolous expense but for me its an important tool that I am glad that I have access to now. I can't wait to show you the fruits of my labor.\n\nYour son",Hey Cam. I can't wait until summer arrives. It's my absolute favorite season. I Love the blue sky and hot beaches. I love the sounds of the street vendors and barking dogs. Best of all its warm and sunny. I can feel the suns warm rays on me right now. I am so ready for it to get here. Winter Sucks. ,cond9_p1_t12 : Hi Beverly. I can't wait until Spring arrives. It is my absolute favorite season. I love the green grass and the spring flowers. I love the sounds of birds chirping and bees buzzing. Best of all it is warm and sunny. I can feel the gentle warm breeze right now. I am so ready for it to get here. Winter sucks.,email
"To whom it may concern,\n\nRegarding the meeting we have scheduled this Thursday, I just wanted to give a heads up that I will be late a few minutes. I have a doctors appointment scheduled that cannot be moved and will likely be on my way back to the office as the meeting is underway. \n\nMy Apologies", ,,email
"Dude did I just rewatched Kill Bill 2 and realized I recognized the guy who played Pai Mei. So I do some searching turns out actor, Gordon Liu, was in kung fu movie when he was younger and had to fight against him. Seems like a funny spin on the student becoming the master.", , ,email
"Dear Mom and Dad,\n\nI appreciate the support you have given me in and the love you've always shown and just wanted to send a humble thanks.\n", , ,email
"Hey, Sorry but I'm not going to be able to make it out to you guys. I just wanted to give you notice  that I have an obligation to keep up with and won't be free.", , ,email
participant7,,,email
I just wanted to bring up an important issue with you. I have been a valuable member of the company for a long period of time and would like to discuss the possibility of a raise with you.  ,Greetings Jane.  I know it has been a goal of yours to be a superhero. Let me be the first to congratulate you on your acceptance into the Avengers. Enjoy your time defending Earth from evil alongside the best of the best of heroes. Congratulations again!. Make us proud. We will be rooting for you. ,"cond3_p1_t3 : Hi Jane. Congratulations on being accepted into the Avengers. I know you have always wanted to be a superhero. Now you will get to defend the Earth against all kinds of threats while you fight besides the mightiest heroes. To tell you the truth, I am a tad bit envious. Okay. I am super envious. I wish I could be there with you.",email
Hey. Sorry something very unexpected came up and I have to cancel our plans for now. I hope that we can talk soon and reschedule for a later date.  Talk soon? , ,,email
I just wanted to reach out and let you know how much I enjoyed your new book.  The characters were so engaging and by the end I felt like I knew them. I cannot wait to read the next installment., , ,email
Hey you. I heard the good news!  I just wanted to say congratulations and tell you that I am so proud of you. Keep up the good work!, , ,email
I honestly can't predict where the future is going to take me. Right now I feel like I am existing in a state of limbo so I am constantly in fear of what is around the next bend., , ,email
participant8,,,email
"I'm sorry, I won't be able to meet up tonight. I was really looking forward to getting together with you, but unfortunately I just got a call from work and I have to go in and put in an overnight shift, and I couldn't get out of it. We're really slammed at work, so I was kind of afraid this would happen. I hope you have a nice time without me.","Hi. I've been thinking about it, and for my birthday what I'd really like this year is to host a barbecue for my friends and family. No gift is necessary, but if you wouldn't mind bringing me my favorite dessert I'd really love it. The best thing I could get for my birthday would be spending time with my friends and family and enjoying a great meal.","cond12_p3_t4 : For my birthday this year, I am thinking about having a barbecue with the family and have some friends over. You can bring my favorite dessert if you want to. That would be the best present that I could get. You know how much I love it, and it would go great with the meal.",email
"Hello.\n\nI just flew back from Seattle, and am I ever happy to be home. God, I really hate everything about the culture of that city. The smug, condescending, morally superior attitude everybody seems to have, the tolerance for being crammed in such close quarters, the smarmy holier than thou liberalism.", ,,email
"Dear Mr. Caviezel\n\nHello, I'm writing this message to express how much I appreciated your performance in my favorite television program, Person of Interest. I've been a fan of your work since I first saw you in the film Frequency, and I've enjoyed your film and television appearances ever since. I'm sure you receive a great deal of this sort of fan mail, so I'll keep my message brief. I just wanted to say that I thought your portrayal of Mr. Reese was fantastic, and it really brightened up my day any time the show came on.", , ,email
"Hey there.\n\nI was hoping you'd be able to schedule your vacation leave for the same time I'm scheduling mine; I'd like to take you on a camping trip to Glacier in July. My vacation is the first two weeks of July, so if you're able to schedule your time off for the same time I think we'd have a great time.", , ,email
"You really did it. I hate to admit it, but I didn't think you'd be able to pull it off, but you finally made it and you're going to retire. Congratulations. It's always sad to see somebody call it a day, but I hope you find a good project to keep yourself busy with all the free time you're going to have.", , ,email
participant9,,,email
"I’m so sorry for the absurdly late notice, but I’m not going to be able to make it tonight. I feel awful for not letting you know before today, but the fact is I’m a bit stressed with an upcoming deadline and I didn’t sleep well last night, so I’d be terrible company. I hope you won’t hold it against me and that we can reschedule (drinks on me!). Let me know if either [date] or [date] works. If neither of those are good for you, please suggest a time, and I’ll do my best to make it happen.","Once fall hits, everyone loves to bake, eat soup, drink hot chocolate, etc. You're loving the small chill and getting yourself into the feeling for winter, so you stop caring a little bit. During the summer it's too hot to cook, plus a lot of delicious fruits and veggies are in season. I want cool things when I'm hot. Salad, fruit, sandwiches, something light and fresh. You also drink a lot more water in the summer, which we all know you're supposed to drink a pretty hefty amount everyday year round. However, as my mom put it to me earlier, the minute it gets a little cold or the pants/sweaters come out, you sort of don't care to an extent. You want cookies, pumpkin spice everything, etc. We even have an apple orchard that makes literally the best doughnuts I've ever had and you can bet I'm going to stock up on those babies. So your body starts taking a bit of a toll, and only getting worse as winter hits. There's a reason we all worry about our \","cond9_p2_t4 : It's always a little bit of a toss-up between spring and fall just because they both have more reasonable temperatures, you know? Summer can fuck right off around here with that 100% humidity and winter, even if mild compared to some, is too cold. Fall wins though -- little bit less allergic to it.",email
"The only way of finding out why your partner doesn’t want to travel is by talking about travel a lot. Sometimes it may be as simple as the cost, which your partner may find prohibitive. But he or she may never say so in open for fear of being judged.\n\nThis happens often when you aren’t married. At this stage the financial status is still hidden, often.\n\nIf you think your partner is worried about the finances, speak to them. Explore travel desires that won’t burn a hole in the pocket. Show your spouse traveling options with discounts and offers on tour packages.\n\nIf cost is the reason, you both need to discuss it in open. Only then you will have any chance of prevailing over your partner and convincing him or her to go on a holiday. For cheap holiday packages check out Expedia, Thomas Cook, Last Minute, Cox and Kings etc.", ,,email
"Here’s to another year of adventures. Here’s to watching movies and videos that we will quote for months, to eating ice cream and having 5-hour phone conversations. Here’s to quoting songs and never being afraid to dance along (or have you laugh at me as I dance and sing along). Here’s to the board games that you may beat me at one day, but not today. Here’s to me being clumsy and stubborn and you being slightly less clumsy but just as stubborn. Here’s to playing would you rather and knowing random facts about each other because of it. Here’s to pizza at midnight, pancakes at noon, and cake on birthdays. Here’s to another year of having you as my best friend.", , ,email
Thank you very much for the tickets to the hockey game. What a generous gift! My thirteen-year-old daughter couldn't believe we got to sit so close to the ice--right behind the team. She was thrilled to see her favorite player in person and I was excited for her. We appreciate your thoughtfulness. Your timing was perfect., , ,email
"I have greatly enjoyed working at XYZ Sales Company for the past three years. In those years, I have become an integral member of the sales team, and have developed innovative ways to contribute to the company.\n\nFor example, in the past year alone, I have achieved the following goals:\n\nHighest-ranking salesperson in customer satisfaction last quarter\nBrought two new high-profile clients to the company, increasing total company sales revenue by 10%\nVoluntarily trained incoming sales staff, totaling 80 hours of voluntary service\nI believe I have gone above and beyond the benchmarks we set for my position when I arrived at the company three years ago.", , ,email
