base sample,imitation,imitation condition,message type
"Cindy, I really need to vent to you for a minute. My day has been just horrible from the word go, everything that could go wrong did. ", , ,tweet
My favorite season is spring because I love the weather getting warmer and I really really like storms. Nothing is cooler then thunder and lightning., , ,tweet
"Dude, you have got to check out Ready Player One. The scene with the Shinning in it was just epic and was such a great part of the movie. ", , ,tweet
"Larry Correia, I love your series Monster Hunter International. I would give anything to see it made into a tv series or movie.", , ,tweet
"Dude, you have got to check out Ready Player One. The scene with the Shinning in it was just epic and was such a great part of the movie. ", , ,tweet
Congratulations! I heard you finally hit your goal weight and that is an impressive job done! I knew you could do it buddy. , , ,tweet
"I'm sorry Bob, I need to cancel our plans for this afternoon. I didn't realize what time they were and I didn't realize the day. I'm sorry.", , ,tweet
"\nDude, I have tried to ignore and drop little hints but I just can't take it anymore. You have got to stop making those random animal sounds.", , ,tweet
"In 5 years, I see myself as a world traveler. I want to visit Japan, New Zealand, and a few other places between now and then. \n", , ,tweet
"Amanda, I've been thinking and we have both been working really hard lately and I think we need some time away, let's see Vegas!", , ,tweet
I hate to say but I'm going to be late to the meeting this afternoon. I blew two tires this morning on my way to the meeting.  , , ,tweet
"I visited Tokyo last month, and I have got to say man the culture there is just amazing! All of the shops and people, I could have stayed forever!", , ,tweet
My favorite season is spring because I love the weather getting warmer and I really really like storms. Nothing is cooler then thunder and lightning., , ,tweet
"Cindy, I really need to vent to you for a minute. My day has been just horrible from the word go, everything that could go wrong did. ", , ,tweet
"Cindy, I really need to vent to you for a minute. My day has been just horrible from the word go, everything that could go wrong did. ", , ,tweet
"In 5 years, I see myself as a world traveler. I want to visit Japan, New Zealand, and a few other places between now and then. \n", , ,tweet
"Cindy, I really need to vent to you for a minute. My day has been just horrible from the word go, everything that could go wrong did.", , ,tweet
"In 5 years, I see myself as a world traveler. I want to visit Japan, New Zealand, and a few other places between now and then. \n", , ,tweet
"Cindy, I really need to vent to you for a minute. My day has been just horrible from the word go, everything that could go wrong did. ", , ,tweet
participant10,,,tweet
I would like to go on a trip to the caribbean or go to vegas. I never wanted to go to vegas but I think I really wanna go now,Mister slate.. Wilma needs  more money she is in a lot of debt and money would help her very much she definitely needs a raise.\n,"cond11_p2_t15 : Mr. Slate, Wilma really has a problem and if we don't get some of the debtasauruses off our backs, it'll kill me. Raise?",tweet
I had to use the toilet I was also up late so I believe I over slept. Also I really didn't feel like going to work  so I got there when I could,Amber got fired because she was stealing from work everyone knows that you are not supposed to steal from work and that's why she got fired as deserved.\n,cond10_p1_t5 : Hi Amber. I am having such a miserable day. I got fired for stealing from work. I can't believe they finally caught me.,tweet
These sob's are annoying. They call about the stupidest things. If they want to wait for me to get there rather than clear it,Hi Mom and Dad thank you for all the love and support you have given me over the years.  thank you for all the love and support you have given me over the years I appreciate it.\n,cond5_p1_t9 : Hi Mom and Dad. Thank you for all the love and support that you have provided me through all the years. I wouldn't be where I am at in life if it wasn't for you.,tweet
I usually like the fall and spring. Too cold in the winter and too hot in the summer . Also too many bugs that only bother me,Hi Mom and Dad thank you you have been supportive for any decision any positive decisions I've made in my life and I appreciate you thank you\n,cond5_p1_t9 : Hi Mom and Dad. Thank you for all the love and support that you have provided me through all the years. I wouldn't be where I am at in life if it wasn't for you.,tweet
I keep have to walk up and down every floor. Seems like they are calling on purpose.It takes a lot of energy for 10 hours,Hi I just got the package thank you it has its own place for the fireplace I really appreciate it thank you very very much.\n,cond2_p2_t1 : Just got the package! I cant believe you remembered how much I loved that! Its got a place of honor over the fireplace.,tweet
They have money and women. and can do whatever whenever. All the time at anytime. Its must be the life hopefully the lottery comes through,I just got your package you sent it had his own place over my fireplace I really appreciate it I can't wait to show you. I think you will love it just as much as I do.\n,cond2_p2_t1 : Just got the package! I cant believe you remembered how much I loved that! Its got a place of honor over the fireplace.,tweet
Celebrity life is amazing. although I do not know. It seems to be great. No worries about family security and money. Forever,Mr slate. Wilma is in debt. She really needs to raise it would help her out a lot and the situation she is in one of my definitely need needs a raise.\n,"cond11_p2_t15 : Mr. Slate, Wilma really has a problem and if we don't get some of the debtasauruses off our backs, it'll kill me. Raise?",tweet
I over slept and that job sucks anyway. I can not wait to find another job. We are treated unfair and the manager also sucks\n,The Afghan period was very nice thank you. I really like it a lot. You are a very good person thank you for the Afghan again thank you you are kind\n,cond2_p3_t9 : I just wanted to thank you for the the afghan that you made for me. It is so beautiful and I will use it every day. It's awesome.,tweet
Vegas or any trip out if town would be nice as long as it is cheap I have a youngin on the way. So i have to save as much as I can,Carnations are my favorite flowers I really appreciate the flowers thank you I love carnation flowers they stay fresh for many days thank you.\n,I wanted to thank you for the flowers. Carnations are my absolute favorite. I hope that they stay fresh for several day.,tweet
My favorite actor is probably ving rhames until he played a drag queen. But I understand when they cut that check you will wear,Hi Jackie. I have to change plans with you .I won't be able to go with you this weekend. The circus is in town and I feel strangely ,cond15_p1_t15 : Hi Jackie. I won't be able to go with you this weekend. The circus is in town and I feel strangely compelled to go to it instead.,tweet
I really thank you for the gift you gave me. I really get a lot of use out of it. I did not ask for it but I really like to use it all the time, , ,tweet
Thank you Mom for raising me I really appreciate it you are very special. Thank you for feeding me and clothing me thank you very much for the both of you have showed me. I have to add more to this to show you how much I like everything you've done.\n, , ,tweet
The culture was very different but I appreciate the experience. I would definitely go back to New York City especially this weekend. To see the fight that I can't wait to see.\n, , ,tweet
I was late for the meeting today because I wasn't scheduled to be there I got there as soon as I could. I will try to be earlier next time if I have more notice.\n, , ,tweet
"Just friends and family for my birthday this year will be okay, kind of want to party cuz this may be the last time I get the party party but we will see.\n", , ,tweet
South Carolina sucks it was so boring the downtown was a half a block and nothing else. You could miss it if you didn't know exactly where it was.\n, , ,tweet
Rosewood is my favorite movie. the scene where he says Booker T. Is one of my greatest scenes that I could ever remember from any movie.\n, , ,tweet
I need more money I work hard I am the best here. I should have more money. Should be the highest paid if not close to the house babe.\n, , ,tweet
Thank you for supporting me and everything I wanted to do appreciate all the help. Even though when I don't ask for the help do you still try to do it anyway.\n, , ,tweet
I visited Dallas it was okay especially strip club. I would definitely go back the food was good as well. I would definitely go back to Dallas and the hotel.\n, , ,tweet
I should be the best I am the best jacket and my pay should be in accordance with that. Why am I not being paid more you should pay me more money.\n, , ,tweet
Hopefully I'll whatever house and a beautiful child 4 years old maybe two. We shall see 5 Years be here in no time hopefully I'm in better shape.\n, , ,tweet
We always like going to the Caribbean. especially going to cruise or something I'm just catching flies and being out of town is always enough.\n, , ,tweet
Thank you for coming to help me out when I didn't need help with an axe for help. But thank you for always trying you are the best thank you.\n, , ,tweet
I hate when you just nod your head when I'm asking a question instead of opening your mouth and saying something. It's very annoying.\n, , ,tweet
Hey man I really appreciate that you always look out for me. that was pretty good my girlfriend likes it as well we really appreciate it thank you man.\n, , ,tweet
How high was pretty funny Method Man & Redman. they were pretty good they were better than I thought they would be and the girl I can't remember her name but she was nice too.\n, , ,tweet
You as a best friend just being my best friend is a gift enough but I really appreciate what you have done for me and my family thank you.\n, , ,tweet
Mom and dad you're the best parents a kid could ask for I really appreciate everything you've ever done. Good times and b you.ad times always love you thank you\n, , ,tweet
Hey man congratulations on that job. I know you've been really looking to get there and I hope it works out for you and. You really deserve it.\n, , ,tweet
These people are very annoying but luckily I get paid good so that makes it okay but I'm still having a terrible day I can't wait till your shift over.\n, , ,tweet
Madea was a good movie. Telegraph is a good actor but I think he kind of ran it roll in the hole. but he still make a lot of but you still make a lot of money and he still gay.money and he still gay.\n, , ,tweet
I will tell you the part of the yet. Don't like it is usually the summer because it's very hot and a lot of bugs outside. \n, , ,tweet
The best time of year for me is spring and fall because the temperature is nice and I don't like to be too cold.or too hot, , ,tweet
Maybe go to the club and party pop some bottles. maybe going a small weekend trip that will be okay for me to do for my birthday.\n, , ,tweet
Keep asking me the same questions parents can be annoying sometimes but you would really appreciate having them and you should really appreciate them at all times. \n, , ,tweet
Somewhere on the beach would be nice this year whether it's in Florida or the Caribbean just somewhere on the beach will be nice.\n, , ,tweet
Winter time is too cold usually with a lot of snow and that traffic summertime is too hot with a lot of heat in that traffic. So fall and spring.\n, , ,tweet
Greensboro South Carolina is very dry born they say it's a college town but I could not tell while I was there I could not wait to leave very boring\n, , ,tweet
We haven't been to Texas together I have been there and I like it I will definitely go back with you on a trip just not in the summer.\n, , ,tweet
Yes I'm going to have to cancel tonight because I have to go to work they called me in this is my weekend to be on call so I had to go sorry I can't go out.\n, , ,tweet
The gift you got was fantastic I really appreciate it I didn't even know if you could think of something like that but thank you we really like it.\n, , ,tweet
Yeah sorry I have to cancel tonight. Something came up that it's a little bit I don't want to say more important but I have to take care of it maybe we can go next weekend\n, , ,tweet
I'm probably going to be late for the meeting because I have to drop my baby off this meeting was scheduled last minute so I'll be there as soon as I can.\n, , ,tweet
Jada is from Baltimore and I think she is a very good actor and she has been doing it for a long time. She is also married to Will Smith.\n, , ,tweet
Go on. P I would like to watch a movie and have some good food with good friends and maybe just stay at home that will be okay.\n, , ,tweet
It was raining all day and I have things to do but I didn't want to drive in the rain all day so maybe I will do it tomorrow but I really wanted it today.\n, , ,tweet
No one told me there was a meeting today I will try to be there as soon as I can but right now I'm in the middle of something.\n, , ,tweet
We both had a great time in California we will definitely go back as soon as we can buy the weather was perfect as good as they said it is.\n, , ,tweet
Yes I have to take the cat to the vet think she ate a whole Mouse so may have to get his stomach pumped I don't know yet we will see.\n, , ,tweet
participant11,,,tweet
"I need to cancel out plans for tonight, we can plan to do it again sometime if you wanna call me?\noooooooooo",I have just received your gift!  You remembered and I love it so and will put it above my fireplace!!!,cond2_p2_t1 : Just got the package! I cant believe you remembered how much I loved that! Its got a place of honor over the fireplace.,tweet
Hi my friend I wanted to write to you on this social site and tell you that I am happy and proud for you!,"Mr. Spacely I would like to to acknowledge the trouble with Elroy and wish for a raise from you, please?","cond11_p2_t13 : Mr Spacely, you know how Elroy got into that trouble? I hate to do this, but I really could use a raise to keep him out.",tweet
Hi my friend I would like to write to you and tell you the details about my day but I will just say it has been bad!,"The very best part of the movie is at the very end, you will love it!  It is so interesting and strange.","cond14_p2_t6 : The best scene is the one at the very end -- you'll know it when you see it... Slow-motion, great song, absurd situation.",tweet
I would like to write to you my friend and tell you what it is that I want on my birthday!  How about a new car?,"Hello Victoria, this has been one bad day.  I was late for work, boss almost died and I was scarred to death.",cond10_p1_t6 : Hi Victoria. I am having such a rotten day. First I was late to work. Then my boss had a stroke. It was terrifying.,tweet
I am writing to you and hope that you will receive the message about my day because it has been badly!,Hey Bill I am gonna be late for the meeting today my mother has been in an accident and I will have to take care of that.,cond11_p1_t13 : Hi Bill. I will be late for the meeting today. My mother was crushed by a steamroller and I have to go to the morgue to identify her body.,tweet
I wanted to write and remind you that it's my birthday so if you want to get me a gift please make it a car!,I hope to be paid greatly in five years time.  This is gonna be great when I begin working with the malpractice claims.,cond13_p1_t8 : In five years I will be the highest paid attorney in America. You won't believe how much money I'll be making off all the high profile malpractice suites.,tweet
I will have to cancel out plans and wanted to say that I am so sorry for the canceling but we can do it later!,"Hey Jackie, I will need to cancel this weekend there is a circus this weekend and I must attend!!!!!!!",cond15_p1_t15 : Hi Jackie. I won't be able to go with you this weekend. The circus is in town and I feel strangely compelled to go to it instead.,tweet
"Hello lover, would you like to go to a island for a vacation and we can see all kinds of neat things!","I was so impressed with the New Yorkians and there ways, especially the foods that they eat since they are quite delicious.",I was really amazed at the different culture of people from New York. They eat totally different foods.,tweet
I am going to be late for the business meeting today because of the traffic which has me held up presently.,I was so loving on these people from New York they are great and also they have amazing food for eating and it is good.,I was really amazed at the different culture of people from New York. They eat totally different foods.,tweet
I would like to thank you my parents for the gift and say that it was very nice of you to buy that for me.,I wanted to message you and say thanks for these flowers they are carnation and I love them and they are so fresh!,I wanted to thank you for the flowers. Carnations are my absolute favorite. I hope that they stay fresh for several day.,tweet
I would like to write to you my favorite actor and say that you are great on the big screen!!!!!!!!!!!!!!!!!!!!, , ,tweet
I want to write you my best friend and thank you for the gift that you sent me - I just got it and love it so much!, , ,tweet
I will need to cancel the plans that we have made together since I will not be able to make it...sorry!, , ,tweet
"Hello ACTOR NAME, I wanted to write to you and tell you that you are my favorite, can we meet each other?", , ,tweet
I would like to message you and tell you about how your habit is so very annoying to me and wish you would stop it., , ,tweet
I wanted to message you my friend and tell you about my favorite season of the year and it is a christmas time!, , ,tweet
I was messaging you just to let you know about my favorite time of the year and this is the christmas time of the year!, , ,tweet
"It was my birthday this year, did you know about it my friend please send me a message back about it!", , ,tweet
I want to get a car from you for my birthday this year if you could go ahead and just send me the keys that would be great., , ,tweet
I am having such a terrible day today and wanted to message you and tell you about it since you are my friend., , ,tweet
"I wanted to message you and tell you what I want you to get me for my birthday and that is a car, thanks.", , ,tweet
I need to cancel my plans with you this day since I will not be able to keep the schedule of meeting with you., , ,tweet
Hello boss I was wondering if you would give me a raise since I am always working so very hard for you!, , ,tweet
Hello friend I wanted to message you and thank you about the present that you have got for me on this day., , ,tweet
I want you my friend to go ahead and buy me a car vehicle for my birthday on this year if you would that be great!, , ,tweet
I like the city that we are visiting my friend and my favorite part about it is the culture that is here., , ,tweet
Hi friend I am having a terrible day today and wanted to go ahead and send you this message so that you would know about it., , ,tweet
Want to go to the continent of Africa for our vacation together my significant other?  Please send me your confirmation., , ,tweet
Maybe we could go to the island of hawaii for our vacation on this year and see the dolphins and dancing grass ladies!, , ,tweet
Hello boss would you allow for me to have a raise of money on this period since I am such a hard worker!, , ,tweet
It is my favorite season in the winter since this when the christmas time is and santa will bring me presents!, , ,tweet
Let's go to mountains and see if we can find some cool things to do there for the vacation what will you say?, , ,tweet
I will be late for the meeting of business on this day since the vehicle that I am driving did not start right away., , ,tweet
I see myself at the United States and probably gonna be moving around some and have lotsof of money for any fees., , ,tweet
"It is my favorite season now in the winter time of christmas, how about you my friend, what is you favorite?", , ,tweet
"I am watching my favorite movie right now and it is a bout these vampires and stuff like that, I forgot the name of it.", , ,tweet
"My favorite season is christmas time and winter, what is you favorite time of the year my friend, please tell me.", , ,tweet
I think that we should go to a vacation on a island with lotsof water and woods so that we can camp and stuff., , ,tweet
I would like to say how annoying your habit is to me my friend and would then ask for you to not do the habit no more., , ,tweet
"Hello signifigant other, what do you say about that we go ahead and go to the west side of america for vacation?", , ,tweet
Hi my signifigant other would you like to go to the state of vegas and do some of the gambling for our vacation?, , ,tweet
Hi best friend I would like to say thank you for the present that you have sent me and say that I liked it!!!!, , ,tweet
I will need to cancel our plans friend since my stomach is feeling sick and have begun to throw up the stuff in there., , ,tweet
I would like to send you my friend the congratulations of the day since you have accomplished a great thing!, , ,tweet
"Boss would you give me a raise for the good and hard work that I have done for you at this job, please?", , ,tweet
"This cities culture is quite the most amazing it is and I like it a whole bunch, do you feel that way aswell my friend?", , ,tweet
Hi friend I learned of your accomplishment as of presently and would like to tell you that I am very proud of you!, , ,tweet
Thank you to you my friend that is the best and you picked a great gift for me that I am very pleased with!, , ,tweet
I wanted to tell you friend about my favorite movies since it has also the best actor line up in there!!!, , ,tweet
You are so annoying with you stupid habits.  Can you please stop with the stupid and annoying things that you do?, , ,tweet
participant2,,,tweet
"I love the movie along Came Polly, you'd love the humor. The best part is when he thinks he sharted. The movie is hilarous",Thanks mom and dad for all of the love and support. I wouldn't be where I am in life right now without you,cond5_p1_t9 : Hi Mom and Dad. Thank you for all the love and support that you have provided me through all the years. I wouldn't be where I am at in life if it wasn't for you.,tweet
Congrats on the great accomplishment. I'm very proud of you and beyond excited to see where you will end up and all that you will accomplish in the future,I was amazed and in awe of the foots and culture of New York. They eat way different food from us which was interesting,I was really amazed at the different culture of people from New York. They eat totally different foods.,tweet
Dear boss I think I deserve a raise. I have been taking on more responsibility and my pay does not show that. I am valuable and would like that to be reflected in my compensation,"Victoria, I am having a terrible day where I was first late to work and then saw my boss have a stroke. It's terrifying.",cond10_p1_t6 : Hi Victoria. I am having such a rotten day. First I was late to work. Then my boss had a stroke. It was terrifying.,tweet
"Fall is my favorite season. The leaves change colors, football starts and everyone is ready and festive","Mr Slate, I have a problem and I really need a raise. Is there anyway that we can make this happen at all?","cond11_p2_t15 : Mr. Slate, Wilma really has a problem and if we don't get some of the debtasauruses off our backs, it'll kill me. Raise?",tweet
Congrats on your great accomplishment! You are such a great friend and so deserving of this accomplishment,"Mom and Dad, thanks for all the love and support that you provided me through all the years. I wouldn't be where I am without you",cond5_p1_t9 : Hi Mom and Dad. Thank you for all the love and support that you have provided me through all the years. I wouldn't be where I am at in life if it wasn't for you.,tweet
You and your significant other should take a vacation to Hawaii. Its much needed and you two would love it so much,"Bill, I need a raise because my mom was crushed by a steamroller and I have to go to the morgue to identify her body",cond11_p1_t13 : Hi Bill. I will be late for the meeting today. My mother was crushed by a steamroller and I have to go to the morgue to identify her body.,tweet
Unfortunately I am going to be late to this meeting because I have an appointment that I can't get out of. Sorry for the inconvenience,I was really amazed at the different culture of people from New York. They eat totally different foods - it's so interesting,I was really amazed at the different culture of people from New York. They eat totally different foods.,tweet
We need to talk about this annoying habbit that you have. You chew with your mouth open and its beyond gross,Hi Amber. I am having such a miserable day. I got fired for stealing from work. I can't believe they finally caught me.,cond10_p1_t5 : Hi Amber. I am having such a miserable day. I got fired for stealing from work. I can't believe they finally caught me.,tweet
"Winter is my favorite season beacuse of the snow on the ground, the presents that come up and the general holiday cheer","Mr Spacely, you know how Elroy got into that trouble? I hate to do this, but I really could use a raise to keep him out.","cond11_p2_t13 : Mr Spacely, you know how Elroy got into that trouble? I hate to do this, but I really could use a raise to keep him out.",tweet
Hey babe we should take a vacation somewhere. I was thinking about the Bahamas. What do you think? It could be fun,"The best scene is the one at the very end -- you'll know it when you see it... Slow-motion, great song, absurd situation.","cond14_p2_t6 : The best scene is the one at the very end -- you'll know it when you see it... Slow-motion, great song, absurd situation.",tweet
Your my best friend but we need to talk about your  habit of not brushing your teeth. Its disgusting and its giving you a bad reputation, , ,tweet
"Summer is by far my favorite season. It's the best time to be outside, the sports are a lot of fun and everyone takes a break from work", , ,tweet
I'm so sorry but I have to cancel plans because a work emergency came up last minute. I promise I will make it up to you next time, , ,tweet
I'm so sorry but I have to cancel these plans last minute. My baby got sick and I have to go home to take care of her. Sorry again!, , ,tweet
Feverpitch is my favorite movies. I love sports movies and I think you would like it as well. I think it would be the perfect movie for you to watch, , ,tweet
"Im having the worst day. I lost my job, got sick and found out that I have to move. Nothing seems to be going my way lately", , ,tweet
All that I want for my birthday this year is tickets to the World Series- my favorite sporting event and something I love, , ,tweet
James Spader is my favorite actor because he is so honest with his portrayal and somehow finds a way to bring humor in it too, , ,tweet
We need to talk about this annoying habit you have of chewing gum in the office. Its annoying and people don't like it, , ,tweet
"Dear Harrison Ford, I love your movies and shows and you are my favorite actor. I hope you have a great day!", , ,tweet
Today has been a terrible day as I keep messing up with work and I am afraid that I may get in trouble at work because of it, , ,tweet
"I just visited Italy and loved the culture. Everyone drinks wine, eats great food and concentrates on their family a lot", , ,tweet
Dear mom and dad thank you so much for raising me the right way. I can't tell you how appreciative I am for how you raised me, , ,tweet
"Dear Malcom Gladwell, I love your work and you are by far my favorite author. Please write more books and do more podcasts!", , ,tweet
I just visited Austin Texas and was so surprised how laid back and accepting the culture was. I would definitely visit there again, , ,tweet
Im so sorry that I have to cancel plans but I accidentally double booked plans for today and forgot. Sorry!, , ,tweet
Thank you mom and dad for paying for my college. Education is the greatest gift that anyone can ever receive!, , ,tweet
Congratulations on your new baby! I am so excited for you and proud of you and can't wait to meet the newest member of your family, , ,tweet
We need to talk about how poorly you dress. Its emberaasing and a really bad habit that you need to correct, , ,tweet
Dear mom and dad thank you so much for my birthday gift. I love spending time with you and also love the gift, , ,tweet
"Im so so so sorry that I have to be late for this meeting. My assistant over booked and caused this delay, I;m sorry", , ,tweet
Unfortunalty I am going to be late for this meeting because I was caught in traffic and didn't get to the office until recently, , ,tweet
Thank you for being my best friend and for getting me the nicest and most thoughtful present. I really appreciate it!, , ,tweet
We need to talk about your smoking habit. Its very unsafe and you are going to have health issues if you dont stop this habit, , ,tweet
Mom and dad thank you so much for having another kid. I am so lucky to have siblings and want to thank you for that, , ,tweet
Thank you best friend for getting me tickets! I really appreciate them and cant wait to go enjoy the present, , ,tweet
Thank you for being my best friend and getting me the best t shirt for a present! Can't wait to wear it!, , ,tweet
"Hey significant other, we should take a vacation to Mexico. We would both really like it and we need a vacation badly", , ,tweet
Thank you so much for the new pair of shoes! I love them and will wear them every day to work and when I get home, , ,tweet
Congratulations on your accomplishment! No one is more deserving of this award and you should feel honored!, , ,tweet
I just visited Chicago and loved the culture as well as the deep dish pizza. I would reccomend it highly to my friend, , ,tweet
"Dear Bill Simmons, you are my favorite author but you need to stop trying to make things for tv. Please know your strengths", , ,tweet
Dear mom and dad thank you for taking me out to dinner. It was so nice and it was great to see you for a great meal, , ,tweet
The blindside is my favorite movie because of the great themes and sports scenes. You would love it so much, , ,tweet
We need to talk about a raise I have a higher offer somehwhere else but would rather stay here if you can offer a raise, , ,tweet
Today is such a terrible day. Its raining and I stepped in a huge puddle which ruined my pants and my day, , ,tweet
Thank you best friend for giving me the present of a gym membership. I will think of you as I go every single day, , ,tweet
The Giver is my favorite movie and you would love the movie especially since you loved the book and read in school, , ,tweet
Today has been such a terrible day as I found out that my dog died and also got in trouble with the law again, , ,tweet
Hey significant other we should take a vacation to Canada and go skiing. It would be so much fun and would be relaxing, , ,tweet
participant3,,,tweet
"I hope to be in western Pa living the dream, playng with grandbabies, going to the movies, visiting my dad and having fun.",Honey your so welcome. We love you so much and are so blessed you're our baby. What would do without you. You are our angelbaby.,cond5_p1_t9 : Hi Mom and Dad. Thank you for all the love and support that you have provided me through all the years. I wouldn't be where I am at in life if it wasn't for you.,tweet
"I really would like to go to visit my daughter in Pennsylvania. Don't know if it's going to happen or not, but one can hope","We love you so much, your such an angel. We'll always be here for you. We'll stand beside you because we love. you.","cond5_p2_t6 : Mom, Dad, not enough thanking over the years... But I gotta thank you now for letting me make some of the mistakes I made.",tweet
"My favorite movie has to be Tom Hanks in Turner and Hooch! It's a classic, never ever gets old! I laugh so hard I cry!",You are the best we're right here for you and always will be. We love you and will stand beside you thru thick and thin.,"cond5_p2_t6 : Mom, Dad, not enough thanking over the years... But I gotta thank you now for letting me make some of the mistakes I made.",tweet
"Hi there Robert Redford, I love watching another favorite movie, Spy Game. You and Brad Pitt have a great chemistry. Love watching",Your so very welcome. I hope it keeps you warm in the days that come. You are such a blessign to me. I love you my friend.,cond2_p3_t9 : I just wanted to thank you for the the afghan that you made for me. It is so beautiful and I will use it every day. It's awesome.,tweet
