,sample,imitator,type
22,"Dear Boss, \n\nI've been working very hard for very long and under pretty nutty conditions. I tolerate it when I'm called in on weekends, outside of work hours, and even when I'm asked to go unpaid. It's fine, I don't have a problem with that. But I have to be paid much more for what I've done and what I'm willing to do. There has to be an immediate renegotiation of salary or my two weeks is in hand.",imitator5,email
23,"Baby Driver has one of the best soundtracks in decades, the way music flows and stops so effortlessly and to support the machinations of the plot, the smooth mixing of Baby's character and anxiety into pop, awkward 50s beats and ragtime and how his cool demeanor is more of a facade than anything. It's so good.",imitator5,email
24,"Congratulations. You worked hard on it, really hard, harder than most, and you deserved it a lot sooner. There's not much else I can say, lol, other than you deserved more faster. But you know that and they know that so your ascendancy to CEO is all over but the crying. It's great stuff, just don't forget me when you're in your premium condo.",imitator5,email
25,I am having such a terrible day today because to start off when i went to get gas before going to work the gas handle did not stop and gas got all over me. I had to rush home to shower and change and then i was late to work and a meeting. this ruined my whole day. ,imitator6,email
26,I am going to be late because this morning when i went to put gas in my car the handle did not stop causing gas to gush out everywhere and get all over me.  I have to rush home and shower and change and ill be on my way to join the meeting.,imitator6,email
27,"Dear Joan Crawford,\n\nI am such a huge fan of yours that i just wanted to tell you that i appreciate all you do and the work that you do. I would like to know more from before you became famous, like your childhood, and up until the point you \",imitator6,email
28,"Honey, i was reading up on this vacation package on a viking cruise. I think it would be really awesome if we could do something like this and see other parts of the world from a beautiful cruise boat.  the prices are not unreasonable and we can afford it. ",imitator6,email
29,I am going to be late to the meeting because last night there as a storm and it knocked my alarm clock out and it did not go off causing me to oversleep.  I am getting ready now to get to this meeting as soon as I can.  I apologize for the inconvenience. ,imitator6,email
30,I need to cancel our plans for this weekend because one of my children is sick and I need to stay at home to take care of them. I feel bad as I was looking forward to this event but it's important for Johnny to recover from this illness.  Could we maybe reschedule for sometime the following weekend?,imitator7,email
31,. I thought that you really captured the essence of the character.  Your performance inspired me to pursue my own career in the performing arts. I really hope that you continue to share your amazing performance skills with us in the future.,imitator7,email
32,I want to congratulate you on achieving your goal.  I know that you worked so hard on this project and you definitely deserve this recognition.   I have been inspired in my own life as a result of the way that you worked every day to accomplish this goal and I'm so proud of the example that you set.,imitator7,email
33,Thank you so much for your thoughtfulness and generosity with this amazing gift. I was so surprised when I opened the package as it was so unexpected.  I know that I will definitely use this gift every day and that I will get a lot of enjoyment out of it.  Thank you so much again for thinking of me!,imitator7,email
34,Thank you for this amazing present.  I am so honored to be your friend and I cherish every day that I get to enjoy your friendship and camaraderie.  This present was such a creative idea and I can't think of anyone else that could have come up with such a cool and innovative idea. Thank you so much!,imitator7,email
35,"Ya know, my favorite season is Winter. I love not being too hot or worry about showing my flab. I mean, don't get me wrong, Spring is nice with all the green and growing stuff, but seriously, Winter is awesome. When else is it ok to curl up and ignore the world? That totally makes me crave a hot chocolate... ",imitator8,email
36,"Hello Sir,\nAfter the extremely positive performance appraisal you discussed with me this past week, I felt I needed to approach you. I have been with the company for 26 months and have performed exemplary the entire time. I am prompt, hard-working, and I use the Oxford comma appropriately. If you could, Sir, consider boosting my salary commiserate to my performance?",imitator8,email
37,"Good going, Girl! I am so proud of you! I is wonderful to hear that you accomplished what you worked so hard to achieve. In the beginning, you were so unsure if you could pull it off, but Girl, you have worked your heart out for this! And you did it! Congratulations, Love, you deserve this. One hundred percent!",imitator8,email
38,"Dear Mom and Dad, I really do appreciate what you've done for me. I know it was a stretch for you and that you had to think incredibly hard about whether or not you'd be able to help me out. I know this. And I am very grateful. Rest assured that I will cherish your warm and caring gesture forever. Thank you. ",imitator8,email
39,"Neil, I know you hear this all the time, but I had to express to you just how much your work means to me. On every level you are an inspiration, a leader, and a mentor, whether you are aware of it or not. Your works are magnificent and awe-inspiring and they have impacted my life in a wonderful way.",imitator8,email
40,"It was amazing, the food was great and so unique. But honestly, their wood fired broolyn style pizza took the cake. It was to die for. Also, the people there were different than down south, but not the rude mean northerner type that you hear about down here from time to time. There was a lot of music and art displayed out on the streets which was really cool.",imitator9,email
41,"Thank you both so much. I really appreciate it, and yall did not have to do that at all. It means so much to me though that you would think of me that way, and go out of your way during your busy days to send me this. It really will go a long way and it means more to me than you know. I love you both and I am so grateful for parents like the both of you.",imitator9,email
42,"The culture there was intriguing. People were dancing in the streets, and it was very diverse. The food even was too. On every corner there were at least 4 completely different types of authentic restaurants. It was a great eye opening experience, and I honestly feel more cultured just from spending a few days there. 10/10 recommend visiting!",imitator9,email
43,"Thank you mom and dad. For everything. But mostly for loving me and caring for me and always providing for my needs. It means more to me than you know, and I know I can never repay for you all you have done, all you do, and all you will do. I only hope that I can do the same for my own children some day.",imitator9,email
44,"I see myself married and graduating from graduate school with my masters degree. I see myself buying a house and possibly moving to a new city for a new job with my husband. I see us having the conversation about having kids of our own and starting a family together. Most importantly, I see myself happy and successful and loved.",imitator9,email
45,"Hi Mom and Dad,\n\nThanks for helping me out with the graphics card. I know it seems like a frivolous expense but for me its an important tool that I am glad that I have access to now. I can't wait to show you the fruits of my labor.\n\nYour son",imitator10,email
46,"To whom it may concern,\n\nRegarding the meeting we have scheduled this Thursday, I just wanted to give a heads up that I will be late a few minutes. I have a doctors appointment scheduled that cannot be moved and will likely be on my way back to the office as the meeting is underway. \n\nMy Apologies",imitator10,email
47,"Dude did I just rewatched Kill Bill 2 and realized I recognized the guy who played Pai Mei. So I do some searching turns out actor, Gordon Liu, was in kung fu movie when he was younger and had to fight against him. Seems like a funny spin on the student becoming the master.",imitator10,email
48,"Dear Mom and Dad,\n\nI appreciate the support you have given me in and the love you've always shown and just wanted to send a humble thanks.\n",imitator10,email
49,"Hey, Sorry but I'm not going to be able to make it out to you guys. I just wanted to give you notice  that I have an obligation to keep up with and won't be free.",imitator10,email
50,I just wanted to bring up an important issue with you. I have been a valuable member of the company for a long period of time and would like to discuss the possibility of a raise with you.  ,imitator11,email
51,Hey. Sorry something very unexpected came up and I have to cancel our plans for now. I hope that we can talk soon and reschedule for a later date.  Talk soon? ,imitator11,email
52,I just wanted to reach out and let you know how much I enjoyed your new book.  The characters were so engaging and by the end I felt like I knew them. I cannot wait to read the next installment.,imitator11,email
53,Hey you. I heard the good news!  I just wanted to say congratulations and tell you that I am so proud of you. Keep up the good work!,imitator11,email
54,I honestly can't predict where the future is going to take me. Right now I feel like I am existing in a state of limbo so I am constantly in fear of what is around the next bend.,imitator11,email
55,"I'm sorry, I won't be able to meet up tonight. I was really looking forward to getting together with you, but unfortunately I just got a call from work and I have to go in and put in an overnight shift, and I couldn't get out of it. We're really slammed at work, so I was kind of afraid this would happen. I hope you have a nice time without me.",imitator12,email
56,"Hello.\n\nI just flew back from Seattle, and am I ever happy to be home. God, I really hate everything about the culture of that city. The smug, condescending, morally superior attitude everybody seems to have, the tolerance for being crammed in such close quarters, the smarmy holier than thou liberalism.",imitator12,email
57,"Dear Mr. Caviezel\n\nHello, I'm writing this message to express how much I appreciated your performance in my favorite television program, Person of Interest. I've been a fan of your work since I first saw you in the film Frequency, and I've enjoyed your film and television appearances ever since. I'm sure you receive a great deal of this sort of fan mail, so I'll keep my message brief. I just wanted to say that I thought your portrayal of Mr. Reese was fantastic, and it really brightened up my day any time the show came on.",imitator12,email
58,"Hey there.\n\nI was hoping you'd be able to schedule your vacation leave for the same time I'm scheduling mine; I'd like to take you on a camping trip to Glacier in July. My vacation is the first two weeks of July, so if you're able to schedule your time off for the same time I think we'd have a great time.",imitator12,email
59,"You really did it. I hate to admit it, but I didn't think you'd be able to pull it off, but you finally made it and you're going to retire. Congratulations. It's always sad to see somebody call it a day, but I hope you find a good project to keep yourself busy with all the free time you're going to have.",imitator12,email
60,"I’m so sorry for the absurdly late notice, but I’m not going to be able to make it tonight. I feel awful for not letting you know before today, but the fact is I’m a bit stressed with an upcoming deadline and I didn’t sleep well last night, so I’d be terrible company. I hope you won’t hold it against me and that we can reschedule (drinks on me!). Let me know if either [date] or [date] works. If neither of those are good for you, please suggest a time, and I’ll do my best to make it happen.",imitator13,email
61,"The only way of finding out why your partner doesn’t want to travel is by talking about travel a lot. Sometimes it may be as simple as the cost, which your partner may find prohibitive. But he or she may never say so in open for fear of being judged.\n\nThis happens often when you aren’t married. At this stage the financial status is still hidden, often.\n\nIf you think your partner is worried about the finances, speak to them. Explore travel desires that won’t burn a hole in the pocket. Show your spouse traveling options with discounts and offers on tour packages.\n\nIf cost is the reason, you both need to discuss it in open. Only then you will have any chance of prevailing over your partner and convincing him or her to go on a holiday. For cheap holiday packages check out Expedia, Thomas Cook, Last Minute, Cox and Kings etc.",imitator13,email
62,"Here’s to another year of adventures. Here’s to watching movies and videos that we will quote for months, to eating ice cream and having 5-hour phone conversations. Here’s to quoting songs and never being afraid to dance along (or have you laugh at me as I dance and sing along). Here’s to the board games that you may beat me at one day, but not today. Here’s to me being clumsy and stubborn and you being slightly less clumsy but just as stubborn. Here’s to playing would you rather and knowing random facts about each other because of it. Here’s to pizza at midnight, pancakes at noon, and cake on birthdays. Here’s to another year of having you as my best friend.",imitator13,email
63,Thank you very much for the tickets to the hockey game. What a generous gift! My thirteen-year-old daughter couldn't believe we got to sit so close to the ice--right behind the team. She was thrilled to see her favorite player in person and I was excited for her. We appreciate your thoughtfulness. Your timing was perfect.,imitator13,email
64,"I have greatly enjoyed working at XYZ Sales Company for the past three years. In those years, I have become an integral member of the sales team, and have developed innovative ways to contribute to the company.\n\nFor example, in the past year alone, I have achieved the following goals:\n\nHighest-ranking salesperson in customer satisfaction last quarter\nBrought two new high-profile clients to the company, increasing total company sales revenue by 10%\nVoluntarily trained incoming sales staff, totaling 80 hours of voluntary service\nI believe I have gone above and beyond the benchmarks we set for my position when I arrived at the company three years ago.",imitator13,email
65,"I would ask but I'm worried about my job at the moment. I'm scared to make waves, maybe I'll just wait. If I do a good job I'm sure he'll offer me one. ",imitator14,tweet
66,"Congratulations man, if anyone deserved it it was you. I remember when you started this journey and told me about your goal.",imitator14,tweet
67,"Hey babe, I was thinking since we both have been working really hard lately we should get away for the weekend, what do you think?",imitator14,tweet
68,Idk if I've ever told you but my all time favorite season is spring. I love the weather getting warmer and the storms. Yay rain,imitator14,tweet
69,"I have always been a huge fan of yours Mark Shepard! It was so cool to get to meet you at PCC last fall, can't wait to meet again.",imitator14,tweet
70,I've been to a lot of cities my friend but I would have to say Metropolis was just amazing! So much Superman just everywhere!,imitator14,tweet
71,"Erest Cline, your book Ready Player One was the best book I have ever read! I've read it 3 times and saw the movie twice!",imitator14,tweet
72,"Congratulations, I know you have been pounding the pavement trying to get that account, and I told you you would. Congrates again!",imitator14,tweet
73,"I've worked with this company for a very long time and I have always been among the top in performance, I would like a raise.",imitator14,tweet
74,In five years I see myself enjoying life at my goal weight and traveling the world with my daughter. Also I want to have steady income ,imitator14,tweet
75,"Dude, you have to go see Ready Player One. It is by far the best movie out there and all the Easter eggs in it is mind boggling.",imitator14,tweet
76,I've held my tongue as long as I can but I just can't handle you making those dumb animal sounds all the time. Please stop,imitator14,tweet
77,I was thinking honey and I think we should get away for a few days. We could both really use a break from normal life and stress.,imitator14,tweet
78,"In five years I see myself living in a very nice, completed, house that we are going to be starting this summer. I can't wait. ",imitator14,tweet
79,"I think we should go check out New Zealand this summer, we have always talked about it and you love the countryside there. ",imitator14,tweet
80,"I think it's time we finally go check out Japan, we're not getting any younger and we should stop talking about some day and just do it.",imitator14,tweet
81,I have been with the company for 12 years and never once been in trouble or been late. My work is always top notch and I think I deserve a raise. ,imitator14,tweet
82,"Larry Correia, your series Monster Hunter International is problem one of the best book series out there! I can't wait to see where it goes.",imitator14,tweet
83,"Dude, you have got to check out Ready Player One. The scene with the Shinning in it was just epic and was such a great part of the movie. ",imitator14,tweet
84,"Hey, I just wanted to take a moment to thank you for your gift last week. It was really cool and you always seem to know what to get me. ",imitator14,tweet
85,"Larry Correia, I love your series Monster Hunter International. I would give anything to see it made into a tv series or movie.",imitator14,tweet
86,"Larry Correia, I love your series Monster Hunter International. I would give anything to see it made into a tv series or movie.",imitator14,tweet
87,"Larry Correia, I love your series Monster Hunter International. I would give anything to see it made into a tv series or movie.",imitator14,tweet
88,"Hey, I just wanted to take a moment to thank you for your gift last week. It was really cool and you always seem to know what to get me. ",imitator14,tweet
89,"Hey, I just wanted to take a moment to thank you for your gift last week. It was really cool and you always seem to know what to get me. ",imitator14,tweet
90,"Mom, Dad, thank you both for the add for my game. I know it wasn't the cheapest present but it really meant a lot, thank you both. ",imitator14,tweet
91,"Dude, I have tried to ignore and drop little hints but I just can't take it anymore. You have got to stop making those random animal sounds.",imitator14,tweet
92,"Cindy, I really need to vent to you for a minute. My day has been just horrible from the word go, everything that could go wrong did. ",imitator14,tweet
93,"In 5 years, I see myself as a world traveler. I want to visit Japan, New Zealand, and a few other places between now and then. ",imitator14,tweet
94,I hate to say but I'm going to be late to the meeting this afternoon. I blew two tires this morning on my way to the meeting.  ,imitator14,tweet
95,"Mom, Dad, thank you both for the add for my game. I know it wasn't the cheapest present but it really meant a lot, thank you both. ",imitator14,tweet
96,"Cindy, I really need to vent to you for a minute. My day has been just horrible from the word go, everything that could go wrong did. ",imitator14,tweet
97,My favorite season is spring because I love the weather getting warmer and I really really like storms. Nothing is cooler then thunder and lightning.,imitator14,tweet
98,"Dude, you have got to check out Ready Player One. The scene with the Shinning in it was just epic and was such a great part of the movie. ",imitator14,tweet
99,"Larry Correia, I love your series Monster Hunter International. I would give anything to see it made into a tv series or movie.",imitator14,tweet
100,"Dude, you have got to check out Ready Player One. The scene with the Shinning in it was just epic and was such a great part of the movie. ",imitator14,tweet
101,Congratulations! I heard you finally hit your goal weight and that is an impressive job done! I knew you could do it buddy. ,imitator14,tweet
102,"I'm sorry Bob, I need to cancel our plans for this afternoon. I didn't realize what time they were and I didn't realize the day. I'm sorry.",imitator14,tweet
103,"\nDude, I have tried to ignore and drop little hints but I just can't take it anymore. You have got to stop making those random animal sounds.",imitator14,tweet
104,"In 5 years, I see myself as a world traveler. I want to visit Japan, New Zealand, and a few other places between now and then. \n",imitator14,tweet
105,"Amanda, I've been thinking and we have both been working really hard lately and I think we need some time away, let's see Vegas!",imitator14,tweet
106,I hate to say but I'm going to be late to the meeting this afternoon. I blew two tires this morning on my way to the meeting.  ,imitator14,tweet
107,"I visited Tokyo last month, and I have got to say man the culture there is just amazing! All of the shops and people, I could have stayed forever!",imitator14,tweet
108,My favorite season is spring because I love the weather getting warmer and I really really like storms. Nothing is cooler then thunder and lightning.,imitator14,tweet
109,"Cindy, I really need to vent to you for a minute. My day has been just horrible from the word go, everything that could go wrong did. ",imitator14,tweet
110,"Cindy, I really need to vent to you for a minute. My day has been just horrible from the word go, everything that could go wrong did. ",imitator14,tweet
111,"In 5 years, I see myself as a world traveler. I want to visit Japan, New Zealand, and a few other places between now and then. \n",imitator14,tweet
112,"Cindy, I really need to vent to you for a minute. My day has been just horrible from the word go, everything that could go wrong did.",imitator14,tweet
113,"In 5 years, I see myself as a world traveler. I want to visit Japan, New Zealand, and a few other places between now and then. \n",imitator14,tweet
114,"Cindy, I really need to vent to you for a minute. My day has been just horrible from the word go, everything that could go wrong did. ",imitator14,tweet
115,I would like to go on a trip to the caribbean or go to vegas. I never wanted to go to vegas but I think I really wanna go now,imitator15,tweet
116,I had to use the toilet I was also up late so I believe I over slept. Also I really didn't feel like going to work  so I got there when I could,imitator15,tweet
117,These sob's are annoying. They call about the stupidest things. If they want to wait for me to get there rather than clear it,imitator15,tweet
118,I usually like the fall and spring. Too cold in the winter and too hot in the summer . Also too many bugs that only bother me,imitator15,tweet
119,I keep have to walk up and down every floor. Seems like they are calling on purpose.It takes a lot of energy for 10 hours,imitator15,tweet
120,They have money and women. and can do whatever whenever. All the time at anytime. Its must be the life hopefully the lottery comes through,imitator15,tweet
121,Celebrity life is amazing. although I do not know. It seems to be great. No worries about family security and money. Forever,imitator15,tweet
122,I over slept and that job sucks anyway. I can not wait to find another job. We are treated unfair and the manager also sucks\n,imitator15,tweet
123,Vegas or any trip out if town would be nice as long as it is cheap I have a youngin on the way. So i have to save as much as I can,imitator15,tweet
124,My favorite actor is probably ving rhames until he played a drag queen. But I understand when they cut that check you will wear,imitator15,tweet
125,I really thank you for the gift you gave me. I really get a lot of use out of it. I did not ask for it but I really like to use it all the time,imitator15,tweet
126,Thank you Mom for raising me I really appreciate it you are very special. Thank you for feeding me and clothing me thank you very much for the both of you have showed me. I have to add more to this to show you how much I like everything you've done.\n,imitator15,tweet
127,The culture was very different but I appreciate the experience. I would definitely go back to New York City especially this weekend. To see the fight that I can't wait to see.\n,imitator15,tweet
128,I was late for the meeting today because I wasn't scheduled to be there I got there as soon as I could. I will try to be earlier next time if I have more notice.\n,imitator15,tweet
129,"Just friends and family for my birthday this year will be okay, kind of want to party cuz this may be the last time I get the party party but we will see.\n",imitator15,tweet
130,South Carolina sucks it was so boring the downtown was a half a block and nothing else. You could miss it if you didn't know exactly where it was.\n,imitator15,tweet
131,Rosewood is my favorite movie. the scene where he says Booker T. Is one of my greatest scenes that I could ever remember from any movie.\n,imitator15,tweet
132,I need more money I work hard I am the best here. I should have more money. Should be the highest paid if not close to the house babe.\n,imitator15,tweet
133,Thank you for supporting me and everything I wanted to do appreciate all the help. Even though when I don't ask for the help do you still try to do it anyway.\n,imitator15,tweet
134,I visited Dallas it was okay especially strip club. I would definitely go back the food was good as well. I would definitely go back to Dallas and the hotel.\n,imitator15,tweet
135,I should be the best I am the best jacket and my pay should be in accordance with that. Why am I not being paid more you should pay me more money.\n,imitator15,tweet
136,Hopefully I'll whatever house and a beautiful child 4 years old maybe two. We shall see 5 Years be here in no time hopefully I'm in better shape.\n,imitator15,tweet
137,We always like going to the Caribbean. especially going to cruise or something I'm just catching flies and being out of town is always enough.\n,imitator15,tweet
138,Thank you for coming to help me out when I didn't need help with an axe for help. But thank you for always trying you are the best thank you.\n,imitator15,tweet
139,I hate when you just nod your head when I'm asking a question instead of opening your mouth and saying something. It's very annoying.\n,imitator15,tweet
140,Hey man I really appreciate that you always look out for me. that was pretty good my girlfriend likes it as well we really appreciate it thank you man.\n,imitator15,tweet
141,How high was pretty funny Method Man & Redman. they were pretty good they were better than I thought they would be and the girl I can't remember her name but she was nice too.\n,imitator15,tweet
142,You as a best friend just being my best friend is a gift enough but I really appreciate what you have done for me and my family thank you.\n,imitator15,tweet
143,Mom and dad you're the best parents a kid could ask for I really appreciate everything you've ever done. Good times and b you.ad times always love you thank you\n,imitator15,tweet
144,Hey man congratulations on that job. I know you've been really looking to get there and I hope it works out for you and. You really deserve it.\n,imitator15,tweet
145,These people are very annoying but luckily I get paid good so that makes it okay but I'm still having a terrible day I can't wait till your shift over.\n,imitator15,tweet
146,Madea was a good movie. Telegraph is a good actor but I think he kind of ran it roll in the hole. but he still make a lot of but you still make a lot of money and he still gay.money and he still gay.\n,imitator15,tweet
147,I will tell you the part of the yet. Don't like it is usually the summer because it's very hot and a lot of bugs outside. \n,imitator15,tweet
148,The best time of year for me is spring and fall because the temperature is nice and I don't like to be too cold.or too hot,imitator15,tweet
149,Maybe go to the club and party pop some bottles. maybe going a small weekend trip that will be okay for me to do for my birthday.\n,imitator15,tweet
150,Keep asking me the same questions parents can be annoying sometimes but you would really appreciate having them and you should really appreciate them at all times. \n,imitator15,tweet
151,Somewhere on the beach would be nice this year whether it's in Florida or the Caribbean just somewhere on the beach will be nice.\n,imitator15,tweet
152,Winter time is too cold usually with a lot of snow and that traffic summertime is too hot with a lot of heat in that traffic. So fall and spring.\n,imitator15,tweet
153,Greensboro South Carolina is very dry born they say it's a college town but I could not tell while I was there I could not wait to leave very boring\n,imitator15,tweet
154,We haven't been to Texas together I have been there and I like it I will definitely go back with you on a trip just not in the summer.\n,imitator15,tweet
155,Yes I'm going to have to cancel tonight because I have to go to work they called me in this is my weekend to be on call so I had to go sorry I can't go out.\n,imitator15,tweet
156,The gift you got was fantastic I really appreciate it I didn't even know if you could think of something like that but thank you we really like it.\n,imitator15,tweet
157,Yeah sorry I have to cancel tonight. Something came up that it's a little bit I don't want to say more important but I have to take care of it maybe we can go next weekend\n,imitator15,tweet
158,I'm probably going to be late for the meeting because I have to drop my baby off this meeting was scheduled last minute so I'll be there as soon as I can.\n,imitator15,tweet
159,Jada is from Baltimore and I think she is a very good actor and she has been doing it for a long time. She is also married to Will Smith.\n,imitator15,tweet
160,Go on. P I would like to watch a movie and have some good food with good friends and maybe just stay at home that will be okay.\n,imitator15,tweet
161,It was raining all day and I have things to do but I didn't want to drive in the rain all day so maybe I will do it tomorrow but I really wanted it today.\n,imitator15,tweet
162,No one told me there was a meeting today I will try to be there as soon as I can but right now I'm in the middle of something.\n,imitator15,tweet
163,We both had a great time in California we will definitely go back as soon as we can buy the weather was perfect as good as they said it is.\n,imitator15,tweet
164,Yes I have to take the cat to the vet think she ate a whole Mouse so may have to get his stomach pumped I don't know yet we will see.\n,imitator15,tweet
165,"I need to cancel out plans for tonight, we can plan to do it again sometime if you wanna call me?\noooooooooo",imitator16,tweet
166,Hi my friend I wanted to write to you on this social site and tell you that I am happy and proud for you!,imitator16,tweet
167,Hi my friend I would like to write to you and tell you the details about my day but I will just say it has been bad!,imitator16,tweet
168,I would like to write to you my friend and tell you what it is that I want on my birthday!  How about a new car?,imitator16,tweet
169,I am writing to you and hope that you will receive the message about my day because it has been badly!,imitator16,tweet
170,I wanted to write and remind you that it's my birthday so if you want to get me a gift please make it a car!,imitator16,tweet
171,I will have to cancel out plans and wanted to say that I am so sorry for the canceling but we can do it later!,imitator16,tweet
172,"Hello lover, would you like to go to a island for a vacation and we can see all kinds of neat things!",imitator16,tweet
173,I am going to be late for the business meeting today because of the traffic which has me held up presently.,imitator16,tweet
174,I would like to thank you my parents for the gift and say that it was very nice of you to buy that for me.,imitator16,tweet
175,I would like to write to you my favorite actor and say that you are great on the big screen!!!!!!!!!!!!!!!!!!!!,imitator16,tweet
176,I want to write you my best friend and thank you for the gift that you sent me - I just got it and love it so much!,imitator16,tweet
177,I will need to cancel the plans that we have made together since I will not be able to make it...sorry!,imitator16,tweet
