base writing sample,imitation,condition of imitation,message type
Very different. It was like everything in the world was smashed into one area, , ,text
Thank you! ever since we were little you knew exactly what I want! You are the best. , , ,text
I have to cancel tonight. My dog is very sick and I need to be there for him., , ,text
Im so sorry I have to cancel. I have to wait until the plumber comes over to fix a pipe. , , ,text
I really dont like when you chew with your mouth open. Especially in public. , , ,text
"Summer is the best. It is the season of family, late hot nights and cook outs. ", , ,text
I would go to hawaii. Nothing better than a tropical paradise with the love of your life. , , ,text
I think i need a raise. I dont think my time and effort is being paid right. , , ,text
I have to cancel tonight because my work called and they need me to come back in , , ,text
he is always smiling and happy. I wish more people could be like this today, , ,text
Its fun and very upbeat. Its family friendly and easy for everyone in the family , , ,text
May I have a raise. I have been here forever and my pay has never changed. , , ,text
Everything possible has gone wrong today. Nothing has gone right. NOTHING!, , ,text
I have a flat tire. I have to wait for the tire specialist to get here first. , , ,text
Thank you again. You know how to make me smile every single year. You the best!, , ,text
Go somewhere warm and romantic. Somewhere that is not over populated and loud. , , ,text
Im sorry. My car battery was dead. It set me behind twenty minutes this morning. , , ,text
Im sorry i have to cancel. My parents called and they need help tonight , , ,text
Very charming and cute. Best part of all this person has a huge personality. , , ,text
Good job. I always believed in you and knew that you could do it. never give up , , ,text
Thank you for always making me laugh through out all of these years. I love that!, , ,text
Could i get a pay jump. I work extra hours and need more money to support family , , ,text
Thank you for always being there for me and always seizing to amaze me with gifts. , , ,text
Congratulations. This proves if you never give up that you can succeed anything!, , ,text
I have to cancel tonight. My cat is sick and im scared to leave her alone , , ,text
Very sarcastic yet serious. You know how to hit all types of your viewers in all films , , ,text
It will have you tapping your feet along to the whole thing. Best movie, , ,text
I feel like i was in a whole different world. It was so different than anything else, , ,text
Good job. Keep up the hard work and keep succeeding at life. You are doing great , , ,text
Thank you for the birthday card you sent me. You put a smile on my face and my day, , ,text
I need more money to support my family in these hard times. Its just not enough, , ,text
I want a new set of tires for my car. They are starting to get really bare. , , ,text
participant10,,,text
Could we discuss my salary soon?  It's been over a year now.  I am interested in advancing.,In five year I wish to be royalty!  Let me live that fantasy!  That would be nice.,cond13_p3_t6 : In five years I hope to see myself living life a queen and being rich and famous.,text
Congrats Sara!  Your new home is lovely and I think you guys will be very happy in the neighborhood!,"In five years I hope to see myself living the life of Riley, rich and famous to boot!",cond13_p3_t6 : In five years I hope to see myself living life a queen and being rich and famous.,text
"Mr. King, it would sure be great if you came out with an original work in time for Christmas!","I will be healthier as I have changed my diet and exercise, so I will be stronger also.",cond13_p3_t1 : In five years I see myself getting stronger because I will be healthier.,text
Thanks Eve for the wonderful gift!  I will treasure the thought as well as enjoy the present!,"I will be a queen, rich, famous and so so popular!  That is my hope for the future.",cond13_p3_t6 : In five years I hope to see myself living life a queen and being rich and famous.,text
I would be interested in setting aside a time when we could discuss the possibility of a raise in my salary.,I'm not going to be able to make it there.  Hubby has an appointment.  Next time?,cond4_p3_t4 : Im sorry but I wont be able to make it tomorrow. My hubby has a doctors appointment.,text
I have a dentist appointment tomorrow and will be a bit late for the meeting.,"Hey Ted.  Not good today.  Horrid mess in traffic this morning, saw an awful accident and missed my train.",cond10_p1_t2 : Hi Ted. I am having a miserable day. My dog got run over my a garbage truck. It was horrific.,text
Did you enjoy Kitchen Stories?  I really love the guy in the big chair!,I adored the gift Sara.  I will treasure and use it while thinking of you.  Always my bestie.,cond2_p3_t2 : I absolutely loved the present that you gave me Faye. I will use it every day. Best friends forever.,text
Thank you for the lovely card!  It means so much to hear from you on our special day!,"Not able to make it Saturday, having to do a double shift to cover for a collegue.","cond4_p3_t11 : I cant come to your party on Saturday. I have to work overtime. Jane is sick, so I got called in.",text
In five years I expect to have the house paid for and be ready to start some major improvements!,Not able to be there this weekend.  Having to pull some overtime to cover for a sick co worker.,"cond4_p3_t11 : I cant come to your party on Saturday. I have to work overtime. Jane is sick, so I got called in.",text
Did you like the part where he was spying on the spy?  That was so funny....,"Sarah, could you please stop throwing trash in the lawn?  It is really annoying, and we do have a garbage can.",cond7_p1_t11 : Hi Sarah. I am tired of you drinking all my milk. I know we are roommates but that milk is my milk,text
"Dear Mr. King, I really enjoy your collarorations with your son, but hope for a solo novel soon!",In five years I hope to see myself married to a wonderful man that is rich and super good looking!,cond13_p3_t6 : In five years I hope to see myself living life a queen and being rich and famous.,text
"Seattle was very strange to me, I am not used to West Coast culture at all!", , ,text
I have to cancel my plans to meet tonight as I am going to have to work late.  Can we do it next week?, , ,text
Seattle's gum wall is so weird!  And oddly appealing.  We took a snap and will send., , ,text
"Seattle has some great restaurants, but everything is a bit pricey.  I had more fun in the mountains.", , ,text
Seattle has a lot of tech workers and it seems to be a fairly wealthy area.  Interesting!, , ,text
"Today has been the worst!  Had a headache and it never got better, can't wait for bed!", , ,text
"Well, my boss yelled at me for something that wasn't my fault and I had to bite my tongue hard!  Tomorrow is another day though", , ,text
Thank you for stopping by last night.  It was great to see you and hope to do it again very soon!, , ,text
"I know it's hard not to smoke indoors, but it is only polite to those who hate the smell, I'll go outside with you next time.", , ,text
"Hey, lets go to Florida next winter!  Be so nice to get away from the cold for a bit and swim in the ocean!", , ,text
"I'm going to have to cancel our dinner, my brother is ill and needs help to the doctors.  Can we do it tomorrow?", , ,text
How about Maine?  It's be great to go to Bar Harbor and see the wild ocean!, , ,text
"Your habit of snapping your gum is so distracting!  I'm sorry to mention it, but it is hurting my productivity", , ,text
I love spring!  It would be nice if it would actually arrive this year!, , ,text
"Oh, I would love to go out to eat, thanks for asking!  That would be fun!", , ,text
"Seattle was a busy city, always something going on.  Almost too much to do.", , ,text
"I really liked the ending, I hope you enjoy it also.  Quite moving and memorable.", , ,text
Thanks for the great gift!  I'll think of you every time I listen! Thanks again., , ,text
I really like the characters.  It's so neat that rural farmers are portrayed as being very intelligent and worldly, , ,text
I have to pick up my son from school before the meeting and will be running about 10 minutes late., , ,text
Today has been awful!  Got out of the wrong side of bed and just couldn't get going., , ,text
"I'm not going to be able to make it tonight, something urgent came up.  Will be there next week though.", , ,text
"I love spring, it's so nice to get back outside and begin a garden.  Love the nice weather.", , ,text
"It's a great film.  Too bad you have to read subtitles, but well worth the effort.", , ,text
"Mr. King, it would be great if you would work on a solo novel again, perhaps a sequel to Dune?", , ,text
"My favorite movie of all time is Kitchen Stories.  It's available at the library, you should check it out!", , ,text
I would love some new lotion.  Surprise me with a scent!  It will be fun!, , ,text
My day has been the pits.  Got a parking ticket and was late for a meeting.  Looking forward to some wine!, , ,text
"Dear Mr. King, please give us a new work for Christmas!  Look forward to it every year!", , ,text
Spring is the best!  The whole world relaxes and celebrates the season!, , ,text
It's so sad when he learns that he doesn't get a real horse.  I really felt for him., , ,text
Seattle doesn't have the rule that you have to have public restrooms if you are a business.  Nasty!, , ,text
Seattle is very difficult to drive in with all the steep roads.  Not fun!, , ,text
"Mr. King, loved Misery, more like this please!  Your biggest fan......lol", , ,text
Could we go to Dallas?  Never been there and heard so much about it!  What say you?, , ,text
"Thanks for having us over, the meal was wonderful and the company the best!", , ,text
I see myself getting a promotion or two before then.  Will have more income!, , ,text
Spring is awesome!  Can't wait to go to the park with you guys again!  Soon soon!, , ,text
Could we get together to discuss my salary?  I would like to increase my pay., , ,text
participant11,,,text
I have a flat tire my insurance roadside assistance is on the line taking forever to get a tow truck to get here.,Not much will have changed then. L will be about to start high school -- Ill be very uncool.,cond3_p2_t3 : Not much will have changed then. L will be about to start high school -- Ill be very uncool.,text
I see myself with a rentable home with a steady job and less grumpy towards people most days.,Hi Sarah. I am tired of you drinking all my milk. I know we are roommates but that milk is my milk.,cond7_p1_t11 : Hi Sarah. I am tired of you drinking all my milk. I know we are roommates but that milk is my milk,text
"This morning I woke up 2 hours late, the power had went out my alarm didn't go off.  I'm on a final warning from work and my transmission is about to go out in the car.",Hi Ted. I am having a miserable day. My dog got run over my a garbage truck. It was horrific.,cond10_p1_t2 : Hi Ted. I am having a miserable day. My dog got run over my a garbage truck. It was horrific.,text
I've tried to ignore it but I can't anymore.  I can't stand it when you chew with your mouth half open and I can hear you chomping your food.,Hi sarah. I am tired of you drinking all my mil. I know we are roommates but that milk is my milk.,cond7_p1_t11 : Hi Sarah. I am tired of you drinking all my milk. I know we are roommates but that milk is my milk,text
"We went to this city, it was strange, women couldn't wear jeans n tshirts it had to be dresses and caps.",Hi Ted. I am having a miserable day. My dog got run over my a garbage truck. It was horrific.,cond10_p1_t2 : Hi Ted. I am having a miserable day. My dog got run over my a garbage truck. It was horrific.,text
I got to cancel because I twisted my ankle it's pretty swollen and the Dr. is running an ex-ray.,Not much different. Probably have a new place to live though. Need a bigger bedroom.,cond13_p2_t7 : Not much different. Probably will have a new place to live though. Need a bigger bedroom.,text
I will be late because I went out for lunch and ended up in a mild car accident so I'm late for the meeting.  Sorry folks. Lets get started.,Hi Sarah. I am tired of you drinking all my milk. I know we are roomates but that milk is my milk.,cond7_p1_t11 : Hi Sarah. I am tired of you drinking all my milk. I know we are roommates but that milk is my milk,text
"Summer is the best, then we can go fishing and not have to worry about shoveling snow for a few months.",I have had such a horrible day at work. I am ready for Friday. It cvan't come quick enough.,cond10_p3_t9 : I have had such a horrible day at work. I am ready for Friday. It cant come quick enough.,text
"Honey,? it would be really nice if we could go to Egypt this year I've asked for the last 30 years.",I have had such a horrible day at work. I am ready for Friday. It can't come quick enough.,cond10_p3_t9 : I have had such a horrible day at work. I am ready for Friday. It cant come quick enough.,text
"I got an eviction notice this morning as I was leaving for work.  It's been a horrible day.  Then the daycare called, the kids have lice.",I'm sorry but I wont be able to make it tomorrow. My hubby has a doctors appointment.,cond4_p3_t4 : Im sorry but I wont be able to make it tomorrow. My hubby has a doctors appointment.,text
"Hey, my birthday is coming up, it would be nice if I got that pretty necklace we seen yesterday.",Do you have to keep biting your fingernail like that? There are clippers to make that easy.,cond7_p2_t8 : Do you have to keep biting your fingernails like that? There are clippers to make that easy.,text
"Sorry I'm late, there was a huge traffic jam I didn't hear about because a truck rolled over and traffic was backed up 2 miles.", , ,text
"Angel it's summer, our favorite season, now we can have our normal contest for the tan foot tribe!", , ,text
"Ann, you have to see this movie called 12 Strong, it's about the last war we had the Desert Storm.  I know you would like it.  It has horses in it and I know you love horses.", , ,text
"Dee, I need a new set of tires, my birthday is coming up and I'm barely getting by.  My tires are bald, I got a ticket.", , ,text
"Summer is the best, get to stay warm without cranking the heat and piling on all the blankets don't you think Ann?", , ,text
I hear Egypt is really nice this time of year plus we can get out of the cold weather for a time don't you think honey?, , ,text
"Deb, I love summer, I get to sit in the sun and stay warm, I get to go fishing soon as I get my license.", , ,text
"Deb today was bad, I woke up late, my car wouldn't start and I twisted my wrist on the lawn mower. ", , ,text
V.C. Andrews is my favorite author of Flowers in the Attic.  I read all of the series and not long ago there was another book I didn't know about., , ,text
"Cornell, this year for my birthday I want a new microwave, mine is about to die.  I've had it for 10 years.", , ,text
"Ma, Pa, thank you for taking me in when my real mom and dad could not take care of me anymore due to health reasons.", , ,text
"I lost track of time, I'm running behind for my meeting and now the elevator is stalled and I'm stuck.", , ,text
I have to cancel because our babysitter canceled on me and I can't get anybody else at this short of a notice., , ,text
Thank you ma and pa for the carpool you helped out with to the band practice yesterday afternoon before the game., , ,text
"Boss, I've been here 15 years, I never missed a day, I've always been on time.  I need a raise please.", , ,text
"Mr. Andrews, I love your books, I get so caught up in them I end up reading the whole thing in 1 night.", , ,text
Ann you would like the greatest musician it's my favorite. it's a musical and about the circus., , ,text
"V.C.Andrews is a great author, the stories seem so real you can't put the book down until the end.", , ,text
"Richard Gere is a good actor, he has that stern steady sharp look. Hes got the eyes that can shoot daggers.", , ,text
"I've been working over time all week and today it's just been a bad day overall with the kids sick, the car broke down, the husband is cheating.", , ,text
Thank you so much for the tires Dee I really appreciate them and it means a lot to me. Your the best., , ,text
"Ann, the singing and performances they do in the greatest magician is so awesome i had a silly grin the whole movie", , ,text
"In 5 years, I'll be in a big house with a garage with a good job and no more worries because I won the lottery.", , ,text
I won the lottery so in 5 years I will have been to Egypt and Australia and Africa. Its gonna be fun, , ,text
"I need a raise please or I will need to find another job, so a raise or consider this my two week notice.", , ,text
Can we please consider going to Egypt this time? We have been to every place you want to go., , ,text
Thank you parents for raising me the best you could in the short time you had.  I'll never forget., , ,text
I'm going to be late for my meeting because my dog ran out in front of a car and I need to take her to the vet., , ,text
Ann Pitch Perfect is a grand movie the singing is very creative you would really like it i'm sure, , ,text
thank you parents for protecting me and taking me to church on sundays when i was a child., , ,text
I need to cancel because I have a report that needs to be done for work or I will loose my job., , ,text
"Summer is the best season Deb, Get to go for walks and not worry about freezing temperatures.", , ,text
"12 Strong is an awsome movie Cornell, It's about the war you were in the Desert Storm.  Do you remember if it's accurate?", , ,text
"Kate and Leapold Is an awesome drama movie I'm sure you will like Ann, It has to do with time travel.", , ,text
Im going to be late because I am trying to finish this other project that I am working on., , ,text
"This day is terrible, I got the car stuck in a huge snow bank and the tow truck pulled my bumper off.", , ,text
"I want new shoes and new jeans and a new shirt for my birthday, pretty much a new outfit please.", , ,text
"I want a new tv and can opener for my birthday, my can opener is about shot and my tv is just old.", , ,text
Good Job you finally finished that table you were hand crafting! It's beautiful I might buy it., , ,text
participant12,,,text
The Joker's character in Batman: Dark Knight Rises was incredible and enjoyable to watch,"I am sorry, can't make to your party on Saturday as Jane is sick and have to work overtime","cond4_p3_t11 : I cant come to your party on Saturday. I have to work overtime. Jane is sick, so I got called in.",text
I sincerely congratulate you on this achievement and wish all best in future endeavors,"Sarah enough is enough. Even though we are roommates, stop drinking my milk. It is mine",cond7_p1_t11 : Hi Sarah. I am tired of you drinking all my milk. I know we are roommates but that milk is my milk,text
I want you to buy cheesecake with strawberries on top of it. They are very delicious,I see myself living like a queen and live life like those who are rich and famous,cond13_p3_t6 : In five years I hope to see myself living life a queen and being rich and famous.,text
My manager is constantly micromanaging me and I am finding hard to concentrate on my job,"Due to hubby's doctor appointment, i am unable to make it tomorrow. Sorry",cond4_p3_t4 : Im sorry but I wont be able to make it tomorrow. My hubby has a doctors appointment.,text
I am very grateful for your interest and care in me. I hope i will repay in near future,"Due to the fact that Jane is sick and my work overload, i can't make it to your party","cond4_p3_t11 : I cant come to your party on Saturday. I have to work overtime. Jane is sick, so I got called in.",text
The latest avengers movie is casting every Marvel hero and it will be fantastic,expect me to be in van down by the river. Seems will be thinner than the Farley character,"cond13_p2_t10 : Ill be in a van down by the river, Im sure. A bit thinner than the Farley character tho.",text
Let's go to Universal Studios. My friends had been there and praised it. Seems wonderful,coming to party seems hard for me as Jane is sick and i have to work overtime too,"cond4_p3_t11 : I cant come to your party on Saturday. I have to work overtime. Jane is sick, so I got called in.",text
I see myself having married and with kids. Having gotten my mortgage and stable income,I am eager for Friday as I had horrible day at work. It has to come quickly for me,cond10_p3_t9 : I have had such a horrible day at work. I am ready for Friday. It cant come quick enough.,text
I missed my scheduled bus and had to wait for additional 30 minutes on the station,Hope to be by the van down the river and expect me to be thinner than Farley character,"cond13_p2_t10 : Ill be in a van down by the river, Im sure. A bit thinner than the Farley character tho.",text
I dropped my phone on the ground and now there is a crack on the screen,Future is for me to live like a queen and be rich and famous in five years,cond13_p3_t6 : In five years I hope to see myself living life a queen and being rich and famous.,text
I think I have done good so far and per your agreement I would like to have a raise,"Jane got sick and was called, in addition i have work to do, sorry can't make it to party","cond4_p3_t11 : I cant come to your party on Saturday. I have to work overtime. Jane is sick, so I got called in.",text
The black panther was very motivating to watch and shows one can overcome difficulties, , ,text
"Enjoy it dude, it is your time and many congratulations on this success of yours", , ,text
Why don't we go to beach. It is a nice weather and we could enjoy some time under the sun, , ,text
Me and Karen enjoyed Rampage last night at movie theater. Dwayne Johnson was magnificent, , ,text
I wish I could have repaid you right now for all these kindness. You mean everything to me, , ,text
"Due to work related circumstances, i had to cancel my planned plans. It feels bit annoying", , ,text
I would like to take you to a new Chinese restaurant opened last week in our neighborhood., , ,text
It means a lot to me. Thank you very much for consideration and for this great gift, , ,text
I want a portray of me printed with very bright colors and natural background behind it, , ,text
I will be travelling the world and seeing so many different cultures and traditions, , ,text
La La Land with its musical performance was mesmerizing. Definitely recommend you to watch, , ,text
This is very kind of you. I truly appreciate your fastidious care shown toward me and wife, , ,text
I want a soccer ball. I will invite you all to play with it every weekend afterward, , ,text
Why are you doing chewing so loudly. It is annoying and disgusting to other here, , ,text
The Exodus where Christian Bale played was absolutely fantastic and historical, , ,text
My sincere gratitudes for your kindness and please be advised i will never forget it, , ,text
It means a lot to me and your grandchildren. Hope they will grow up and realize all these, , ,text
You are the best dude. You definitely know how to impress me with these things, , ,text
It is spring break. Let's go to Vail Colorado. It is great ski resort. Would be enjoyable, , ,text
I was caught under the rain and had no umbrella. I got soaked all wet and was angry, , ,text
I did not enjoy the spider-man last night. It looked very naive and simple to watch, , ,text
I am thinking of going to new york. There are great places to visit. What do you think, , ,text
"Let's go to Miami, Florida. My friends enjoyed their stay last summer. Would be great", , ,text
There is a great place in downtown for Middle Eastern cuisine. Why not go there, , ,text
Stop gossiping about your co-workers. It is not a good characteristic of yours, , ,text
Stop spitting on the streets. It is very disgusting and repulsive to others, , ,text
I am thinking of getting mortgage and wanted to know if you approve a raise on my salary, , ,text
This is truly huge Mike. Hope you are enjoying it and accept my best wishes, , ,text
Stop littering in your neighborhood. The management may charge you a significant amout, , ,text
i am stuck in traffic and there seems to a long line forming. Don't know when will be free, , ,text
I had to concede to my partner and was forced to cancel my already planned tasks, , ,text
It is one of the best moments in your life. I wish you all the best in future, , ,text
I have lost my keys to my car. Taking bus would take longer and i will be late likely, , ,text
The weather got really bad suddenly and I was forced not to go camping as I was planning, , ,text
I have been in this for long-time and completed my every duty and would like to have raise, , ,text
"It is incredible from your side to give it to me. Thank you from my heart, means a lot", , ,text
Your play was truly mesmerizing and captivating in its nature. Thank you for experience, , ,text
I am stuck in work and cannot leave on time as there is unexpected to complete, , ,text
I got a flat tire in middle of the road while commuting to work. It is terrible to be here, , ,text
participant3,,,text
"Ever since I saw you act in that movie, you have been my idol. I wish I could meet you.",Sorry. I just forgot to buy more milk so I needed to borrow some. It won't happen again.,cond7_p1_t11 : Hi Sarah. I am tired of you drinking all my milk. I know we are roommates but that milk is my milk,text
"I can't go out tonight, because I have to babysit my neighbor's children and dog.","Why do you think you'll be down by the river, Farley dear? What's left for you to hear?","cond13_p2_t10 : Ill be in a van down by the river, Im sure. A bit thinner than the Farley character tho.",text
Whenever you pick at your nails it sends a horrible shiver down my spine. Please stop.,You're right. It's a character flaw. I'll try and do better. Thanks for letting me know!,cond7_p3_t7 : I know that you cant help getting involved with other peoples problems but it gets annoying.,text
We should go on a trip somewhere soon. Somewhere secluded and romantic. It will be fun! ,I've had a really bad day too. This weekend will be much better. Do you have any fun plans?,cond10_p3_t9 : I have had such a horrible day at work. I am ready for Friday. It cant come quick enough.,text
"Please don't talk to meet like that, it really irritates me. I am not your brother.",Who is Farley? I don't think I'm familiar. What river are you talking about?,"cond13_p2_t10 : Ill be in a van down by the river, Im sure. A bit thinner than the Farley character tho.",text
I got stuck on the platform of the train because the trains were backed up. Be there soon!,I'm just trying to help. I need to know what's happening in order to give helpful advice.,cond7_p3_t7 : I know that you cant help getting involved with other peoples problems but it gets annoying.,text
They have such a vibrant culture. Such great street art and music. And the food! So good.,I've had a horrible week. I can't wait for it to be over. I'm dreaming of happy hour.,cond10_p3_t9 : I have had such a horrible day at work. I am ready for Friday. It cant come quick enough.,text
Thanks mom and dad for sending me a check for my birthday. I will buy some nice clothes!,"I'll be in the van working on my tan, I bet. You think I'll gain weight or what?","cond13_p2_t10 : Ill be in a van down by the river, Im sure. A bit thinner than the Farley character tho.",text
"Fall is my favorite season. I love seeing the leaves change, wearing scarves and walking.","Hi Jessica, I'm sorry. It won't happen again. I'll buy you a new carton of milk.",cond7_p1_t11 : Hi Sarah. I am tired of you drinking all my milk. I know we are roommates but that milk is my milk,text
For my birthday I want to go roller skating. And afterward I want to have a dance party.,"What, why do you have to skip? Are you going to the doctor with your husband? He can go alone!",cond4_p3_t4 : Im sorry but I wont be able to make it tomorrow. My hubby has a doctors appointment.,text
"I'd love to go out for sushi on my birthday, and then go home and eat cake and champagne.",I am upset to hear that. I hate working overtime. Hope you don't get sick either!,"cond4_p3_t11 : I cant come to your party on Saturday. I have to work overtime. Jane is sick, so I got called in.",text
The city was so diverse and interesting. The architecture was really unique and beautiful., , ,text
Thanks mom & dad for your letter! I miss you. Hope to be back home soon and give you hugs., , ,text
"Ugh, this day is the worst. I stepped in poo on the way to school and lost my notebook.", , ,text
We should go somewhere tropical! Maybe the Bahamas or Hawaii. Do you like the beach?, , ,text
I'm not feeling too good. Think I may have a stomach bug. Probably best for me to stay in., , ,text
"In 5 years, I'll have my dream job and will be super happy. I'll also have a sailboat.", , ,text
You are my IDOL! How did you get so good at acting? Your work brings tears to my eyes., , ,text
I would really love it if you took me to an amusement park. We could ride a rollercoaster., , ,text
I have worked really hard this past year and I'd like to review my performance with you., , ,text
I would like a pay increase of 10% because of my excellent performance last quarter., , ,text
Thanks Gene! This is just what I wanted. Can't wait to take it with me to the beach later., , ,text
Have you ever been to Austin? I hear it's very hip. We should go! They have good hiking., , ,text
Thank you so much bestie! You know me so well. You even picked the perfect color! Yay!, , ,text
"It has Danny DeVito in it, he's not very good but the other lead actor is really funny!", , ,text
Whenever I think of your work I get really emotional. You are an inspiration to me., , ,text
Where did you find this?! It's amazing! I love it. Really. Thank you so much. You rock., , ,text
I am really tired tonight and don't think I have the energy to meet up. Tomorrow night?, , ,text
Summer is my favorite. I love to wear sundresses. And eat ice cream and watermelons., , ,text
They have a very strange culture. You are not allowed to talk to the men. And no shoes allowed., , ,text
I like winter best. I really enjoy staying home when it snows and drinking hot chocolate., , ,text
Whenever I read something by you I can never put it down. No one grabs my attention like you., , ,text
I don't really like their culture. They are very rude to foreigners and spit on me twice., , ,text
"It's really funny, but also has a dark side. Kind of like Heathers. I think you'd like it.", , ,text
Why not go to Macchu Picchu? We can practice hiking together and get super fit! So cool, , ,text
In 5 years I will be graduated and working in a museum. I will have a dog named Clarence., , ,text
I really liked it but it's not for everyone. It's kind of weird and has adult themes., , ,text
"Way to go, Fred! That is so amazing. I didn't doubt you for a second. I knew you could do it.", , ,text
I really hate when you talk constantly. I'm trying to focus and not listening to you!, , ,text
You did it! Congrats. How does it feel? Should we go for a drink to celebrate? I'm buying!, , ,text
I could never forget your performance in that one movie. You were so scarily intimidating., , ,text
"I don't want to go to Tennessee again. We should go somewhere new and different, like Peru!", , ,text
Everytime I went to a restaurant they offered me a free glass of wine. They are so generous!, , ,text
Why do you do that? What is the point? All you do is worry yourself more. Chill out man., , ,text
"Yay, congrats! How did you do it? Anyway, who cares! You did it successfully, hooray! ", , ,text
I am going to be late for a meeting because I did this HIT on MTurk that took forever., , ,text
I can't go tonight. Have an early morning tomorrow because I have to take my car to the shop., , ,text
Can you please stop taking my french fries? If I wanted to share I would have told you., , ,text
Thank you for being the best parents ever. You raised me right. I love you both so much., , ,text
Congratulations on a job well done! I can't believe it's all over. 5 years just like that!, , ,text
participant4,,,text
"I'll be a famous musician and living in L.A., with a condo and a lot of money in the bank.","I don't think I'll be much different, but probably have a new place with a larger bedroom.",cond13_p2_t7 : Not much different. Probably will have a new place to live though. Need a bigger bedroom.,text
I really don't like it when you leave food bags open. That's how we get bugs. Please stop.,In five years I see myself being healthier because I will be working out and eating right.,cond13_p3_t1 : In five years I see myself getting stronger because I will be healthier.,text
You play your music really loud in the evening. Could you please turn it down? Thanks girl,You gave me a great gift and I love it Faye. I will use it every day. Best friends forever,cond2_p3_t2 : I absolutely loved the present that you gave me Faye. I will use it every day. Best friends forever.,text
I'm having such a bad day and I really want to go home. I lost my keys and I'm soo annoyed,"I'll be in a van down by the river, but probs a little more thinner than the Farley chara.","cond13_p2_t10 : Ill be in a van down by the river, Im sure. A bit thinner than the Farley character tho.",text
Hello Ms. Angela. I was wondering if I could come over to talk about a raise in the future,"I'll be starting high school by then, but not much will have changed. I'll be very uncool.",cond3_p2_t3 : Not much will have changed then. L will be about to start high school -- Ill be very uncool.,text
Today was the worst day ever! I need some tea because I was so nauseated today. It sucked.,"That milk is my milk, Sarah. I know we're roommates, but I'm tired of you drinking my milk",cond7_p1_t11 : Hi Sarah. I am tired of you drinking all my milk. I know we are roommates but that milk is my milk,text
Los Angeles is so laid back. They have really good and fresh food. You'd love it out here!,I will be healthier in five years because I'll be getting stronger and working myself out.,cond13_p3_t1 : In five years I see myself getting stronger because I will be healthier.,text
"Hey babe, how about we go to the Bahamas soon? Think we have enough in our savings for it.",I'll be very uncool. Not much will have changed by then except that I'll be in high school,cond3_p2_t3 : Not much will have changed then. L will be about to start high school -- Ill be very uncool.,text
"If you love me, you would get me a new fragrance from Bath and Body Works for my birthday!",I can't come to your party because I have to work overtime. Called in because Jane is sick,"cond4_p3_t11 : I cant come to your party on Saturday. I have to work overtime. Jane is sick, so I got called in.",text
You said you would pick me up from work but canceled when I needed you. Thats frustrating.,"There are clippers to make cutting your nails easier, so do you have to keep biting them??",cond7_p2_t8 : Do you have to keep biting your fingernails like that? There are clippers to make that easy.,text
