,sample,imitator,intended author,type
97,"Haha. No problem, honey. We all make mistakes and the important thing is to lear from them, which we know you did.",imitator22,participant 2,tweet
98,Thank you for your sweet note. We love you and can see how you handle your life in such a great manner. We are proud.,imitator22,participant 2,tweet
99,"Bahaha, I know what you mean. They are laugh out loud situations that you can almost see happening in real life.",imitator22,participant 2,tweet
100,Oh man! We need to sit down and talk for a long time about that habit. I know you want to get straightened up.,imitator22,participant 1,tweet
101,"Judy, that's not good. This is the second time. Let's have lunch and figure out what you can do to break the habit.",imitator22,participant 1,tweet
102,Lol. We sure hope your walls are soundproof so your neighbors aren't disturbed. Know you have wanted them a long time.,imitator22,participant 2,tweet
103,Again? I thought this happened last week too. How much do you need? At what point do we just say forget that guy and get a new one. ,imitator23,participant 2,tweet
104,"You better use it every day. The amount of my blood sweat and tears in there make it irreplaceable. Think of it as me, wrapped around you. ",imitator23,participant 3,tweet
105,"A parents gotta do what a parents gotta do. Even though we know that you are gonna land on your face, at least we can laugh. ",imitator23,participant 2,tweet
106,The Circus!? WILL THERE BE ELEPHANTS AND TIGHT ROPES? Can I go too? We can take the train so we can get sloppy drunk. #awwyeah,imitator23,participant 1,tweet
107,"Oh no! Did they recognize it quick enough? FAST is the acronym. Face, arm, smile, time. How scary! Please let me know if there is anything i can do.  ",imitator23,participant 1,tweet
108,I'm really glad you think a clown is better company than me. For real? Come on. What lame excuse will you have next time? ,imitator23,participant 1,tweet
109,I think it's a sign that you finally quit that shitty job. You've been unhappy since you started there last fall. Maybe it's time to look elsewhere. ,imitator23,participant 1,tweet
110,Twitter isn't the best place to formally request something like this. Come to my office right away tomorrow morning and I'll see what I can do. ,imitator23,participant 2,tweet
111,"In what universe? Last time I checked you were the highest guy in America. And yes, I can believe how much money you'll be making. ",imitator23,participant 1,tweet
112,"We love you too Johnathon. Even when we know you're going to fail, we will always be here to support you in your decisions. ",imitator23,participant 1,tweet
113,Thanks so much for the flowers. I love carnations. I hope they last long! At least for a few days anyway! Thanks again!,imitator24,participant 1,tweet
114,I wanted to write a message and say thank you for that afghan that you made for me. It's gorgeous and I'll use it always!,imitator24,participant 3,tweet
115,Hey Victoria. Today is terrible. First I was late for work and my boss had a stroke! The whole thing was terrifying.,imitator24,participant 1,tweet
116,"Mr. Slate, Wilma really has an issue and I think we need to get the debtasauruses of our backs. I deserve a raise.",imitator24,participant 2,tweet
117,Thank you again for the beautiful afghan you made. It was so pretty. I know I'll use it every single day.,imitator24,participant 3,tweet
118,"Mr. Spacely, do you know what happened with Elroy? I don't like to do this but I could really use a raise considering.",imitator24,participant 2,tweet
119,I was so amazed at all the different cultures mixed in with the people of New York. Even better the mixing of foods!,imitator24,participant 2,tweet
120,Five years from now I'll be the highest paid lawyer in the country. You won't believe how much dough I'll bring in.,imitator24,participant 1,tweet
121,Mom and dad. thank you for everything you've provided for me from day one. I wouldn't be here today if it wasn't for you.,imitator24,participant 1,tweet
122,Thanks for the flowers. I love carnations. I hope they'll last for weeks. Thank you so much! They are beautiful,imitator24,participant 1,tweet
123,"I know but when i hear certain things, i want to jump in to see if i can help at all. ",imitator25,participant 3,text
124,I know but its just a bad habit that I have always had. Im trying to break it. ,imitator25,participant 2,text
125,Thats no excuse as to why you cannot be here. Unless its yours. be here ,imitator25,participant 3,text
126,Dont be so hard on yourself. Set bigger goals for your self and stride for them,imitator25,participant 2,text
127,Okay i completely understand. That is understandable. you do what you have to,imitator25,participant 3,text
128,I know what you want. You talked about it every single day. Course I was gonna get it. ,imitator25,participant 3,text
129,You will be a cool parent. You work that and show those kids how cool you are. ,imitator25,participant 2,text
130,Thats understandable. I hope to see you at the next party! keep your head up,imitator25,participant 3,text
131,You have to do what you have to do. there will always be another party for you to come to ,imitator25,participant 3,text
132,Im glad that you can use it everysingle day. It was well worth the money! I knew it,imitator25,participant 3,text
133,You can always keep pushing yourself to be a better version of yourself.  never give up!,imitator25,participant 3,text
134,In five year I wish to be royalty!  Let me live that fantasy!  That would be nice.,imitator26,participant 3,text
135,"In five years I hope to see myself living the life of Riley, rich and famous to boot!",imitator26,participant 3,text
136,"I will be healthier as I have changed my diet and exercise, so I will be stronger also.",imitator26,participant 3,text
137,"I will be a queen, rich, famous and so so popular!  That is my hope for the future.",imitator26,participant 3,text
138,I'm not going to be able to make it there.  Hubby has an appointment.  Next time?,imitator26,participant 3,text
139,"Hey Ted.  Not good today.  Horrid mess in traffic this morning, saw an awful accident and missed my train.",imitator26,participant 1,text
140,I adored the gift Sara.  I will treasure and use it while thinking of you.  Always my bestie.,imitator26,participant 3,text
141,"Not able to make it Saturday, having to do a double shift to cover for a collegue.",imitator26,participant 3,text
142,Not able to be there this weekend.  Having to pull some overtime to cover for a sick co worker.,imitator26,participant 3,text
143,"Sarah, could you please stop throwing trash in the lawn?  It is really annoying, and we do have a garbage can.",imitator26,participant 1,text
144,In five years I hope to see myself married to a wonderful man that is rich and super good looking!,imitator26,participant 3,text
145,Not much will have changed then. L will be about to start high school -- Ill be very uncool.,imitator27,participant 2,text
146,Hi Sarah. I am tired of you drinking all my milk. I know we are roommates but that milk is my milk.,imitator27,participant 1,text
147,Hi Ted. I am having a miserable day. My dog got run over my a garbage truck. It was horrific.,imitator27,participant 1,text
148,Hi sarah. I am tired of you drinking all my mil. I know we are roommates but that milk is my milk.,imitator27,participant 1,text
149,Hi Ted. I am having a miserable day. My dog got run over my a garbage truck. It was horrific.,imitator27,participant 1,text
150,Not much different. Probably have a new place to live though. Need a bigger bedroom.,imitator27,participant 2,text
151,Hi Sarah. I am tired of you drinking all my milk. I know we are roomates but that milk is my milk.,imitator27,participant 1,text
152,I have had such a horrible day at work. I am ready for Friday. It cvan't come quick enough.,imitator27,participant 3,text
153,I have had such a horrible day at work. I am ready for Friday. It can't come quick enough.,imitator27,participant 3,text
154,I'm sorry but I wont be able to make it tomorrow. My hubby has a doctors appointment.,imitator27,participant 3,text
155,Do you have to keep biting your fingernail like that? There are clippers to make that easy.,imitator27,participant 2,text
156,"I am sorry, can't make to your party on Saturday as Jane is sick and have to work overtime",imitator28,participant 3,text
157,"Sarah enough is enough. Even though we are roommates, stop drinking my milk. It is mine",imitator28,participant 1,text
158,I see myself living like a queen and live life like those who are rich and famous,imitator28,participant 3,text
159,"Due to hubby's doctor appointment, i am unable to make it tomorrow. Sorry",imitator28,participant 3,text
160,"Due to the fact that Jane is sick and my work overload, i can't make it to your party",imitator28,participant 3,text
161,expect me to be in van down by the river. Seems will be thinner than the Farley character,imitator28,participant 2,text
162,coming to party seems hard for me as Jane is sick and i have to work overtime too,imitator28,participant 3,text
163,I am eager for Friday as I had horrible day at work. It has to come quickly for me,imitator28,participant 3,text
164,Hope to be by the van down the river and expect me to be thinner than Farley character,imitator28,participant 2,text
165,Future is for me to live like a queen and be rich and famous in five years,imitator28,participant 3,text
166,"Jane got sick and was called, in addition i have work to do, sorry can't make it to party",imitator28,participant 3,text
167,Sorry. I just forgot to buy more milk so I needed to borrow some. It won't happen again.,imitator29,participant 1,text
168,"Why do you think you'll be down by the river, Farley dear? What's left for you to hear?",imitator29,participant 2,text
169,You're right. It's a character flaw. I'll try and do better. Thanks for letting me know!,imitator29,participant 3,text
170,I've had a really bad day too. This weekend will be much better. Do you have any fun plans?,imitator29,participant 3,text
171,Who is Farley? I don't think I'm familiar. What river are you talking about?,imitator29,participant 2,text
172,I'm just trying to help. I need to know what's happening in order to give helpful advice.,imitator29,participant 3,text
173,I've had a horrible week. I can't wait for it to be over. I'm dreaming of happy hour.,imitator29,participant 3,text
174,"I'll be in the van working on my tan, I bet. You think I'll gain weight or what?",imitator29,participant 2,text
175,"Hi Jessica, I'm sorry. It won't happen again. I'll buy you a new carton of milk.",imitator29,participant 1,text
176,"What, why do you have to skip? Are you going to the doctor with your husband? He can go alone!",imitator29,participant 3,text
177,I am upset to hear that. I hate working overtime. Hope you don't get sick either!,imitator29,participant 3,text
178,"I don't think I'll be much different, but probably have a new place with a larger bedroom.",imitator30,participant 2,text
179,In five years I see myself being healthier because I will be working out and eating right.,imitator30,participant 3,text
180,You gave me a great gift and I love it Faye. I will use it every day. Best friends forever,imitator30,participant 3,text
181,"I'll be in a van down by the river, but probs a little more thinner than the Farley chara.",imitator30,participant 2,text
182,"I'll be starting high school by then, but not much will have changed. I'll be very uncool.",imitator30,participant 2,text
183,"That milk is my milk, Sarah. I know we're roommates, but I'm tired of you drinking my milk",imitator30,participant 1,text
184,I will be healthier in five years because I'll be getting stronger and working myself out.,imitator30,participant 3,text
185,I'll be very uncool. Not much will have changed by then except that I'll be in high school,imitator30,participant 2,text
186,I can't come to your party because I have to work overtime. Called in because Jane is sick,imitator30,participant 3,text
187,"There are clippers to make cutting your nails easier, so do you have to keep biting them??",imitator30,participant 2,text
188,"Not much will have changed by five years, except for high school. I will be pretty uncool.",imitator30,participant 2,text
189,Pretty much the same.  Need a new apartment though.  Bathroom is tiny.  Not enough space.,imitator31,participant 2,text
190,I'll be in rehab.  But I won't have as many hits as Johnny Cash.  Or a hot wife.,imitator31,participant 2,text
191,In five years I see myself in a better job because I put in the time it takes to get ahead.,imitator31,participant 3,text
192,I know its something you can't totally control but stop biting your nails the sound is obnoxious,imitator31,participant 3,text
193,This gift is amazing Jane.  I'm going to keep it forever.  Love you lots.,imitator31,participant 3,text
194,Hi John.  My day is terrible.  I stepped on a crack and broke my mothers back.  It was crazy.,imitator31,participant 1,text
195,In five years I will be in a relationship because I will be more connected with my feelings.,imitator31,participant 3,text
196,This gift is so thoughtful Dana.  I will cherish it.  Girlfriends for life.,imitator31,participant 3,text
197,I'll be lost in the woods.  But hopefully I won't die in Alaska like that guy.,imitator31,participant 2,text
198,Same place probably.  I will have broken up with my boyfriend though.  I need someone more stable.,imitator31,participant 2,text
199,In five years I will be patrolling the streets of New York.  I will drink less than Jessica Jones though.,imitator31,participant 2,text
200,I have had such a horrible day at work. I am ready for Friday. It can't come quick enough. ,imitator32,participant 3,text
201,Not much will have changed then. L will be about to start high school -- I'll be very uncool. ,imitator32,participant 2,text
202,I have had such a horrible day at work. I am ready for Friday. It can't come quick enough. ,imitator32,participant 3,text
203,"I'll be in a van down by the river, I'm sure. A bit thinner than the Farley character tho. ",imitator32,participant 2,text
204,"I can't come to your party on Saturday. I have to work overtime. Jane is sick, so I got called in. ",imitator32,participant 3,text
205,Not much different. Probably will have a new place to live though. Need a bigger bedroom. ,imitator32,participant 2,text
206,In five years I see myself getting stronger because I will be healthier. ,imitator32,participant 3,text
207,Hi Sarah. I am tired of you drinking all my milk. I know we are roommates but that milk is my milk. ,imitator32,participant 1,text
208,Do you have to keep biting your fingernails like that? There are clippers to make that easy. ,imitator32,participant 2,text
209,Not much will have changed then. L will be about to start high school -- I'll be very uncool. ,imitator32,participant 2,text
210,In five years I hope to see myself living life a queen and being rich and famous. ,imitator32,participant 3,text
211,"You are getting on my last nerve, Stop drinking the milk right now. It;s mine",imitator33,participant 1,text
212,Sorry can't come. I'm covering for someone at work who is out sick. Next time,imitator33,participant 3,text
213,So sorry I won't make it to the party. My hubby has a medical appointment,imitator33,participant 3,text
214,I will be healthy and I will be stronger from the work I am putting in now,imitator33,participant 3,text
215,Same really I guess. Might move to a bigger place though. That's it really,imitator33,participant 2,text
216,Won't make it in tomorrow so sorry. My husband has an important appointment,imitator33,participant 3,text
217,I know that you mean well and you're being nice but it is getting too much,imitator33,participant 3,text
218,I will have quit life and I'll be living out of my van like a hippy but with better hair,imitator33,participant 2,text
219,Sorry I won't see you tomorrow. My husband has made other plans. Let's reschedule,imitator33,participant 3,text
220,"Sort of the same. No big changes, I will probably have moved for more space",imitator33,participant 2,text
221,I just adored it Darlene. You know me so well it's just so me. Lot of love. ,imitator33,participant 3,text
222,"Hello Ted, I am having a bad day. My dog got run over by a garbage truck. It was horrible.",imitator34,participant 1,text
223,I'm very sorry but I can't make it tomorrow. My husband has a doctor's appointment.,imitator34,participant 3,text
224,Do you need to bite your fingernails like that? There are nail clippers to make that easier.,imitator34,participant 2,text
225,In five years I see myself getting stronger because I will be healthier.,imitator34,participant 3,text
226,"Hello Sarah, I'm tired of you drinking my milk. I know we're roommates but that is my milk.",imitator34,participant 1,text
227,I know that you just can't help getting involved with other's problems but it's annoying.,imitator34,participant 3,text
228,"hello Ted, I'm having a miserable day. My dog got run over by a garbage truck. It was horrible.",imitator34,participant 1,text
229,"Hi Sarah, I'm really tired of you drinking all my milk. I know that we are roommates but that is my milk.",imitator34,participant 1,text
230,"In five years, I see myself getting stronger because I will be healthier.",imitator34,participant 3,text
231,I know that you can't help being involved in other people's problems but it's getting annoying.,imitator34,participant 3,text
232,"Hi Ted, I'm having a miserable day. My dog was run over by a garbage truck and it was horrific.",imitator34,participant 1,text
233,Try to stop getting involved in other people's problems. It's annoying and not helpful. ,imitator35,participant 3,text
234,"A lot will probably be the same, maybe a different apartment though with more space. ",imitator35,participant 2,text
235,I am so ready for Friday. It's been a terrible day at work and I just need this week to be over. ,imitator35,participant 3,text
236,"I'll be living in a van by the river. Kind of like Farley, but probably thinner. ",imitator35,participant 2,text
237,Hey Ted. I'm having a horrible day. My dog got hit by a garbage truck. It was awful! I feel terrible. ,imitator35,participant 1,text
238,Much the same. L will be starting high school and I will not be very cool anymore I suppose. ,imitator35,participant 2,text
239,"I absolutely loved the gift, Faye. I'll use it all the time. You're the best! ",imitator35,participant 3,text
240,I've had a disaster of a day at work. I'm so ready for it to be Friday. It can't come fast enough. ,imitator35,participant 3,text
241,I suppose I'll be living in a van by the river somewhere. Like that Farley character only thinner. ,imitator35,participant 2,text
242,It's been an awful day at work. Isn't it Friday yet? The end of the week can't come fast enough. ,imitator35,participant 3,text
243,"I know that you want to help, but getting involved in people's problems is pretty annoying. ",imitator35,participant 3,text
