,sample,imitator,intended author,type
10,"I am so sorry I'm going to be late! I was right on time this morning, and really prepared for this meeting. I'm so mad, I got a flat tire less than 10 minutes from my house! I even tried to change it myself, but that was just hopeless since I'm not strong enough to get the screw-things off. I called AAA, but they're saying it could take up to an hour!! Everyone I know is already at word, so I don't know what else to do. I have to just wait for them. Is there a way to listen in on the meeting on my phone, as I wait? I really wanted to be there. I don't know if I ran over something, or there's something wrong with my tire. Please know that I would be there if I could, and I will come in as soon as this is fixed. Thanks for your understanding!!",2,8,email
11,"I have a late-model phone. It has been working for me very well. I got it shortly after the latest model was released and haven't had any problems with it. Just recently, it was dropped and there is a small crack in the screen. It has not affected the functionality of the phone, but I had an estimate to get the screen replaced. The cost is low but, since my contract allows for a new phone this year, I do not wish to spend the extra money on this one. For that reason, I will sell this phone for a bit below its value, allowing for replacement of the cracked screen if you so wish. This phone's speed is quite good and it takes high-quality photos. If the screen crack does not bother you, you can get this phone at a great price!",2,1,email
12,"Hi, first, I want to thank you for letting me borrow your car. It's a dream to drive and I got a lot of attention when I took it out the other night. I went to the club down the street here, and drove around the block several times before I found a spot big enough to park the car - and leave space front and back - but not enough space to fit other cars! I double-checked my parking and went into the club for a few hours. When I came out, I found the car still in the spot, but with the side smashed in. It looks like someone hit it broadside. I could not open the door on the driver's side, and could not get it started when I got inside. I had it towed and I am waiting for an estimate. My insurance company is sending an inspector this morning. I will handle the deductible and any related expenses. I am so sorry about this, and promise to get it taken care of as soon as possible.",2,9,email
13,"hey mom. i need you password for my savings account. i swear i changed it when you gave me access to the account but none of my normal passwords are working. all i can figure is that it is still under your info. i really need into that account. this stupid require math class insists on this textbook that costs almost $300! i didn't know i would have to buy anything that expensive so i didn't leave that much from my aid money. if i had known, then i wouldn't have gone to Cancun this summer with Becca! this stuff should be made clear when you sign up for these classes, especially when i don't have a choice. anyway, let me know as soon as you can so i can move to plan B if your password doesn't work either. Say hi to Dad for me. love, me.",2,3,email
14,"Good morning everyone. As you know, this quarter has been a tough one, and the upcoming quarter will obviously be worse. For that reason, more time is required for a plan to be devised. We all need to go into this next meeting with concrete ideas of how we are going to approach the challenges of the next quarter. I am therefore pushing back the current meeting, and asking that everyone come next week instead. Use this time to fine-tune any ideas you expected to present. I expect that everyone was already prepared, but things are changing quickly, and our plans much change with them. The new date will be a week from Friday and I hope to hear detailed progress reports and ideas on how to more forward in these trying times. Thank you.",2,2,email
15,"The key word is ""periodically"" which most insurers define as less than 12 times a year. If your roommate, neighbor or friend is driving your car on a regular basis, that person should be added to your policy, which will most likely increase your premium.

There are ""named driver policies"" out there although they are fairly rare. This type of policy only covers drivers who are explicitly named on the policy. That means accidents are covered if  you let someone drive your car who is not named on your policy.

It is also possible for an insurer to lower coverage levels when an occasional driver is behind the wheel. Insurance companies in eight states are legally allowed to reduce coverage limits for any driver that is not specifically listed on your policy",3,3,email
16,"When all is said and done, you are definitely empowered to fire bad fit employees who do not mesh well with your culture. To do so, ensure that you treat the firing with care by documenting all actions and making a case to let themIdentify the behavior. ...
Be proactive. ...
Verbalize your disappointment. ...
Come up with an action plan. ...
Respect a person's privacy. ...
Clearly outline the consequences. ...
Reward improvementsListen. Often, when an employee is difficult we stop paying attention to what's actually going on. ...
Give clear, behavioral feedback. ...
Document. ...
Be consistent. ...
Set consequences if things don't change. ...
Work through the company's processes. ...
Don't poison the well. ...
Manage your self-talk.",3,9,email
17,"keep yourself and others safe. If you can't get out of your car — or it's not safe to try — keep your seatbelt fastened, turn on your hazard lights, then call 911 if possible and wait for help to arrive. If the collision seems to be minor, turn off your car and grab your emergency kit. If it's safe to get out and move around your car, set up orange cones, warning triangles, or emergency flares around the crash site.

If there are no injuries and your vehicle is driveable, make a reasonable effort to move the vehicle to a safe spot that is not blocking traffic (like the shoulder of a highway or a parking lot). In some states it's illegal to move your car from the scene of a crash, though. Ask your driver's ed instructor what the law is in your state",3,7,email
18,"If you suspect someone of being financially abused, there are several actions you can take: Report the possible crime by calling your local Adult Protective Services and state attorney general's office. File a police report. Explore options at your local probate court if your state has such court Competent vs Incompetent. If the Loved One is incompetent, consider pursuing a guardianship over the Loved One to protect the Loved One.
“Bad Actor” ...
Revoking Power of Attorney. ...
Filing a Lawsuit and reporting the Crime. ...
Recourse After Death.Financial abuse involves controlling a victim's ability to acquire, use, and maintain financial resources. Those who are victimized financially may be prevented from working. They also may have their own money restricted or stolen by the abuser. And rarely do they have complete access to money and other resources",3,4,email
19,"Unsecure Wi-Fi networks. ...
Weak encryption and lack of PIN for Wi-Fi router. ...
Unsecure sites. ...
Unknown programs. ...
Your approval of account links to unknown sites. ...
Revealing your mobile number for social media login. ...
No Windows OS upgrade. ...
No Sandbox.Many parents do have their children's passwords. ... Others suggested that parents should “friend” their child on Facebook, rather than have a password to the account, or agree to be privy to passwords only until their kids reach a certain age Trust is very important in the child parent relationship, and it isn't incompatible with parental monitoring. Parents look through their child's phone because they want to keep them safe. The internet is a dangerous place. Children are exposed to inappropriate content, scams, online predators, and bullying",3,8,email
20,"Hey Everyone, I just wanted you all to know why I am so late. This is going to be hard to believe but I swear every word is the truth. Well you know we had that big storm last night right? About 3 am I heard a loud boom. I got up to find that a tree from my backyard had fallen on my car. It missed the house by inches. When the tree fell it hit the power line and we lost electricity. After being up the rest of the night I fell asleep around daylight and just woke up. That is why I am so late. But now I have to figure out what to do about the car and we still don't have any power. I am hoping that we can reschedule this meeting. I understand how important it is. It's just with everything that is going on I can't leave home unless of course you all want to chip in and get me a new car. Just joking.",4,4,email
21,Hey I heard that you were trying to find used electronics for the kids to use. I have a tablet that would be great for them. I am willing to let it go for less than I was originally trying to get because I know how much you want them for the kids. Getting a used one would be a great way for them to practice for a more expensive one in the future. The one that I have is perfect for kids and it's a steal! Let me know as soon as possible if you would be interested. At this sale price it might not last long. But if you are interested I can hold it for you until payday if necessary. I really do want your kids to be the ones who get this. So if you would like to make a deal just let me know as soon as you can.,4,9,email
22,"Good Morning Crew, Just wanted everyone to know that our meeting scheduled for this morning will be held after lunch this afternoon. First off I am fine. However my car isn't. The morning started out like normal. I stopped for my usual coffee run and then continued on in. I came to a construction zone and followed the workers directions when all of a sudden there was a horrible noise, coffee was everywhere and my car is sitting in the biggest pothole that you have ever seen. I had to wait for a tow truck to get it out. So now it's at the shop. I had to get a cab and stop at the clothes store for something to wear. As you can see my morning has not been what I hoped for. I hope the change in plans does not cause any problems for anyone.",4,3,email
23,Hey I was hoping that you could help me out. I don't have any extra cash right now and just saw that the group I love is coming here. I was hoping that you could get the tickets for me. You could send me your credit card information or I can send you the ticket information. However you would want to do it is fine with me. This would mean the world to me. You know how much I have been wanting to see them in concert. If you don't want to use your credit card you could just send cash and I will go to the box office and get the tickets. I need to know as soon as possible or they will be sold out. If you prefer to send a check that is okay too. If you want me to get you a ticket to go just let me know.,4,6,email
24,"Hey Mom, I just saw a news story that said that there has been a major hack on one of the companies that you use. I know that you don't like dealing with all the tech stuff so if you give me your old password I will fix it for you. I can pick out a new password or you can tell me what you want it changed to. We need to do this as soon as possible so that no one can get your account information. If that were to happen who knows what else would become of it. That would be a nightmare to deal with. So get back with me as quick as you can so that I can take care of this for you. I don't mind in the least to do it for you. I am glad to help you always in any way that I can. Changing the password will solve the problem and you won't have to worry about anything else.",4,1,email
25,"Dear executives,

I most sincerely apologize for my tardiness to the meeting. Unfortunately, a drunk driver had crashed their car into my house, and I had to talk to authorities to get that settled. Nonetheless, that is still not an excuse for me to be very late to this important meeting, and again, I greatly apologize for my actions. Given my track record, this is the only time I have been late and was due to something outside of my control. I guarantee that this is the first and last time i will be late to a meeting and I will do everything in my power to help this company succeed. I humbly ask you keep me as a proud employee at this amazing company. I will not allow myself to slack and will put a 110% effort in everything I do.

Sincerely,

Christian",5,1,email
26,"Hey mom! My savings account is under your name, but I'm wondering if I can get your password so I can access the money I have saved. I have an important dance competition happening in Las Vegas in about two months and the dance team I am on needs to book the flights, hotel, and pay for the competition. I don't have enough money in my checking account to pay for all this, which will probably cost around 500 dollars. Most of my money, as you know, is in my savings account, so I just wanted to pull a small chunk of money to help pay for this. Don't worry, mom, I won't recklessly spend because you know I am very stingy. But you know that this dance competition is very important to me, especially since it's the worldwide dance competition taking place in Las Vegas. I only compete at these kinds of events once a year, so I would be so happy if I could use your password to access my savings account.",5,7,email
27,"Hi, Uncle George! As you know, I am a professional video game player who participates in competitions all around the world. Unfortunately, the eSports company sponsoring me went through some legal issues, and they cannot pay for my trip and hotel fees anymore for the Hawaii tournament. So I was wondering if you could give me some money to compete because this is probably the most important tournament for me this year because it determines the yearly rankings. Furthermore, the prize pool for this tournament is in the millions. If you do agree to this, I would need it by next month and you can just do a wire transfer to my bank account. Again, I humbly ask for you help Uncle George. It would mean a lot to me because this is such an important tournament.",5,8,email
28,"Hey John, I am not exactly sure how to say this. But unfortunately, I was not paying attention, and I crashed your favorite expensive car while I was on the highway. I understand if you will be really upset with me, and rightly so. However, I will do everything in my power to get this situation fixed, and I will do my best to provide you with the funds needed to fix the car, or worse case scenario, buy a new car. I already called my insurance company and they will help pay for a good chunk of the damages. I also understand if you do not want to lend me anything anymore, which is completely fine with me. I did not drive as safely as I should have, and I took for granted the trust you placed in me. So if you could just give me another chance to make it right, I'll do all I can to help you out. Love you brother.",5,0,email
29,"Hey mom, before I tell you all this, I just want you to know that I am ok and not to worry. Earlier this morning, I was crossing an intersection while my light was green, but unfortunately, another car drove on their red light and t-boned me. The car is completely totaled and I ended suffering some broken bones, which include two broken ribs and a broken leg. I'm currently at a hospital downtown getting some treatment, but fortunately doctors said I should be able to fully recover, although it will take a couple months. I am sorry I did not call you earlier. Everything just happened so fast that I had no time to call anyone. But mom, rest assured, everything is ok now and I am completely fine. Love you.",5,5,email
30,"Dear potential buyer, thank you for your interest in buying my iPad. There is one small thing though, and I am so sorry to not have told you this earlier, but currently the screen of the tablet actually a bit worn out. I know it sounds bad, but it actually wasn't cracked from being careless dropped. What had happened was that my son, who will be unable to attend his martial arts lessons in the future if I am not able to raise funds in time, had gotten a hold of the tablet and charged it with the incorrect voltage charger. This had thus actually lit the tablet on fire, but luckily we had gotten to it immediately to reduce damages. In fact, you can barely see that it had even been damaged unless you look at it from certain angles. I regret to inform you that I cannot afford to fix the tablet unless I take my son out of the hobbies that he loves, so it would be a great deal if you could complete this purchase to help our family in need. I promise that when we meet to complete the purchase it will look not as bad as it sounds. Thank you.",6,5,email
31,"Hi mom it's me. How is dad doing? It's been a while since I've talked to you guys but you know how busy I am with studies and everything. I have been working really hard and am on course to graduate. There just happens to be one small problem though, and I know you'll be able to take this in without freaking out because of what a great mom you are. I'll just be blunt with it, I got into a car crash. It looks really bad, in fact the doctors said I am lucky to be alive, but I'm still kicking. Your baby, your star, your beloved son. I'm very ashamed to tell you that I was out with a friend, one who I no longer associate with, and he had been under the influence when driving us home. One moment I'm laughing with him in the car, the next moment I wake up in a hospital bed with several tubes attached to me. I'm so so sorry to tell you about this under these circumstances. I promise you that I'll be alright, and that after all this is done I will no longer associate with such bad influences anymore.",6,2,email
32,"Good day uncle, I'm sorry I wasn't able to make it to your place for your 50th birthday, but you know how busy I am with school. It's unbelievable the work load that my current professors are putting us under. You'd think with all the money that we pay for our education we would be allowed to focus more on learning rather than menial busy work. And speaking of such, there is something that I'd like to ask you. The payments for my tuition aren't going to be able to be met for next quarter. I have already maxed my loans, and much of that money was used to spend on my mother's deteriorating health condition. I know you understand the pain that our family has gone through since her diagnosis, and why my parents also cannot help me with the payments because of it. Which is why I have to ask you for your help in paying for my tuition. Mother said it would be best if I asked you directly. I promise if you help us with this I will pay you back in full when I have graduated and have a paying job. Thanks again for your time and again I hope you'll be able to give us aid!",6,9,email
33,"Hey team, I hope that all of you are currently on task! I regret to inform you all that I will have to postpone tomorrow's meeting to this Friday. I know that we had planned this meeting for weeks and already done the preparations but please allow me a moment to explain this situation. You see, my mother, the best mother in the world who had given me nothing but love ever since I was a child and was regarded as the kindest person by anyone who knew, was in an accident three days ago. I know what you're thinking, and yes, she is still alive! Luckily there were no life threatening injuries which I'm glad to inform you all of! But, with the closeness our of relationship, I had to see for myself the extent of her damages. I simply could not stay here and pretend I was fine when the most special women in the world was potentially under life threatening pain. As a result, my end of the preparations have been pushed back. But I promise that by Friday, I will have everything taken care of, and I will prove to all of you that I am committed to our agenda as all of you are! Thanks for your understanding!",6,0,email
34,"Dear John. Hey man it was great hanging out with you last night. I'm sorry I had to leave early but I had a little bit too much to drink and you know how much work I need to get done before the end of the quarter. My professor this quarter is so unfair and assigns my class so much more work than the other professors in our department. It's completely not under my control. In fact, that's why I'm writing you this. Because I was in such a rush to get home, I decided to snag your keys and borrow your ride to help me get home so I could finish up faster. My thought was that the more work I got done that night then the more we could hang out. Please, don't freak out, and I'm really sorry, but while I was parking the car, I ended up crashing it into the front gate of my apartment complex. It's no longer in any working condition, which I sincerely regret to inform you. I promise that as soon as I'm finished with school and get another job I'll work to get you another car even better than this one. Thanks for your understanding bud, and once again I'm sorry.",6,8,email
35,"I have some upsetting news due to some unfortunate events. I have to push back our meeting. I know this is very short notice and the timing is horrible, but I have had a late shipment come into the loading dock  I respect this company and the work we do here. I would never do something that would make me late intentionally.i can promise you that i will make steps that this will never happen again.i have some accounts with some older social media websites and there are a lot of pictures i want of me and all my friends from back when we were teenagers and i cant remember the passwords. all the accounts are all linked o your google account so when i go to cant remember password it wants to send the recovery link to you.",7,3,email
36,"i have some interviews lined up already and i'm applying to more jobs next week. i'm applying as many i can find, but you know how it is. It has a tons of movies loaded on to the sd car already. That's about 60 gig of hollywood movies. OK, they're ripped and compressed, so it will not be exactly HD DVD quality, This was not even my fault. I was jack-knifed by this crazy dude who ran the red light. But it appears he didn't insurance, so either your insurance pays for it, or I pay for it. and I don't have money.  i'm applying as many i can find, but you know how it is. meanwhile, my savings is dwindling fast. my guess is that it will probably go to 0 within 2 months hope you can come through this time too, man.",7,7,email
37,"I hate to ask ANYONE for money, but especially you after everything you've done for our family. But, Dad fell down and hurt himself pretty bad at work, the insurance won't cover the surgery needed to fix his back.The doctor will not start the surgery without it. If at all possible, you have my venmo, please Aunt I'll do everything in my power to pay it back to you as soon as possible, but this is about my dad's future Your time is very valuable to me, and I only do this because there is absolutely no other option I have here. I'm going to look to reschedule it until 7:30 PM. I am terribly sorry that your time has been wasted waiting for me to show up, but I assure you, I did everything in my power to arrive on time. There was a massive holdup about 5 miles away.",7,6,email
38,"There is a blind corner behind a bush at the exit of the parking lot, and when I was pulling out, a car came flying around the corner and smashed into the driver side of the car. I should be able to recover fairly soon and come back home, and I promise I will give you a call as soon as I get a chance. I am here at the hospital with her now, but she is starting to come around and seems a lot better, so I will try to leave and get to the office as soon as possible. I know, after all these years, I finally want to turn my hobby into a profession! I am thinking of going to the bank to get a loan, but wanted to see if you would be interested in helping me get started first before I do that it weren't a life or death situation on our hands here",7,9,email
39,"I decided that I would postpone our meeting for this afternoon. Instead I'm taking everyone to the outlet mall for a shopping spree on the corporate credit card. I hope everyone will have a great time. I'm so happy that I get to reward the entire team, and spend some time with the people who helped make this company what it is today.Despite the unforeseen circumstances I do have a fairly interesting story to share and a valuable lesson to tell you about that I learned today. I was just about to enter the I-95 exit ramp when I noticed a car pulled over on the shoulder.I am currently in an unknown location, being held against my will. My captors have given me only one instruction. I need to transfer money from our joint account into their offshore bank account by midnight tonight or they will kill me.",7,2,email
40,"Dear colleagues and friends, I have some upsetting news due to some unfortunate events and somethings. I have to push back ourmeeting. I know this is very short notice and the timing is horrible, but I have had a late shipment come into the loading docks. That friend buy a new iphone and apple watch that is too expensive because that is best brand in world.
   a deer jumped out from the right hand side of the road. it scared me and i went to slam on the brakes. when i did the car went into a spin and smacked a telephone pole on street. I also have a few cases for that team  and a brand new car and wall charger. i'm selling it for a much lower prices then most because everything the internals are satisfactory for that.",8,3,email
41,"The man something say he is an idiot because he is an innocent. And he will make a money for his marriage. Once I find a job, and get settled on IT company, I will buy you the same make and model. I swear. He was pulling out of the school entrance in the back near the sign. You know what I'm talking about? Anyway i didn't really pay attention to who was coming down on the hill from the left. I just got out of the ER. And NO need to drive 500 miles or fly here, mom. I'm OK. Doctors said so. Don't worry, and I'll see next month for Thanks for giving that opportunity. And yes, I am coming. And the retirement account's email and and the password will both need to be changed ASAP. And the other accounts that might have been compromised also. Write me back immediately with your passwords or call me and ping on text.",8,7,email
42,"Her Mom, you know how you always ask me what are some hot buys on Amazon? Well, I was going to add a bunch of stuff to your cart so you could see, but unfortunately, I don't have your login credencial info. I know you hate getting links in the email, so I think this is probably the best way for me to do it. It looked like a pretty big pileup happened, I didn't have time to stop and watch because I was rushing to get here as soon as possible. He should still have left with enough time to get here, and I normally do, but I got held up at home helping my kids get ready for school. I am so terribly sorry, and this is on my head, but I hope you can at least understand the circumstances and see it in your heart to let me keep my job on here. I am taking this issue incredibly serious, and I am setting aside as much time as possible to deal with it when I returns.",8,6,email
43,"It's been a while since we've talked! I hope all is well with you and the family. I actually wanted to talk to you because I'm finally thinking of starting a beer brewing business and was wondering if you'd be interested on investing. I'm here at the hospital with her now, but she is starting to come around and seems a lot better, so I'll try to leave and get to the office as soon as possible. I know how important the meeting is in today, and I would have certainly been there on time if it weren't a life or death situation on our hands here. I hope you can understand the severity of our situation and hope that my absence has not caused any issues that can't be fixed. I will be leaving shortly,",8,9,email
44,"I had a spare key for bike so without thinking, I ran straight over, hopped in the seat and started barreling down our street. Well, my little Adventure came to an abrupt end as I hit the gate to the complex. So it is with great sympathy that I need to let you know that your Tesla is no longer. Since the car was wrapped completely around the fence and gate, my insurance adjuster informed me that it was totaled. I'm extremely extremely sorry, and I promise to repay every penny.  He was just wanted to let you know that I have a fantastic, yet old, computer that I am dying to get rid of. However, there are a few things you should know first. The computer itself is not functional in its current state. This is why I've decided to sell it for parts.",8,2,email
45,Hello everyone I know I am late for the meeting we scheduled for today but things came up. My mom ended up feeling very sick and I took her to the hospital. Because she had no one else who could tak her. They admitted her because of her chestpains. Theyre running tests on Her. But they dont know what is wrong. My mom told me I should go to the meeting quickly. I know shes safe there so I am on my way to the meeting. I know its annoying but I am sorry this happened and it won't happen again. I am so excited for this meeting. I have so many exciting ideas for this year;s ad campaign. I will do my best to make you forget about me being late with all my great ideas. I will see you all in about an hour.,9,4,email
46,"Hello! I am writing to let you know about my device. Overall I think it is in great shape. It looks like new and there are no scratches, dents, or anything else. I will even include the case that has kept it safe! However, sometimes the audio doesn't play. This includes music and the phone's ringer, even when it is not set to silent. I know for a fact this is due to a bug in the software. I looked it up online and everyone said so. I have been saying for years they should update these things more often! I fully anticipate that the phone will work perfectly after the next update or software patch. Overall, I think this phone is worth taking a chance on and is something you will want to have! Don't miss this deal!",9,9,email
47,hey all. something has sadly come up and i will not be able to be at todays meeting. I know this is probably annoying bc many of you have been waiting for this chance and trust me im more frustrated than anyone. however I have to take care of my family first even above my job. my family really needs me during this difficult time in their lives. i know we will reschedule this meeting so it can get done and the team can finally come together the way it should. i will be emailing you again in the next few hours so if everyone can please know their availability by then we can get this done. this isn't my fault but i hope you won't be mad at me. everyone can go back to their usual duties during this time. take care,9,3,email
48,"Hello, Aunt Bertha! I am so excited that I heard from you. I hope you're doing well! My mom and I were just talking about you yesterday and saying we hoped you were alright. Anyway, since you did ask how I am, I admit I am not doing quite as well as I would like, Aunt Bertha. I am making okay money from my job, but my student loan payments are absolutely terrible. I can never seem to get ahead considering how much money they are each month. I feel guilty for asking, but I know you offered to help me years ago if ever I needed it. Does the offer still stand? Even being able to pay down $10,000 of my loans at once would put me in a much more stable position. I can send you the details of the loan so you can even pay it directly. Take care!",9,6,email
49,"Hello mom, I am sorry to be emailing you so late. I know you get worried when I do. However I think this is a serious enough matter to warrant it. I am trying to get into my student loan provider account but since you made it when I was a minor it is still under your name. You have the password and it will not let me change it. Now that I am 18 I would like to keep an eye on things so I can try to be responsible. I know you worry about me making mistakes but I think it is important that I am able to keep track of my loans to make sure everything is okay. I would like you to send me the password, please. If you have any questions we can talk on the phone tomorrow but I would like you to take this as seriously as I am.",9,1,email
50,hey mom. I know you are probably upset about me getting into that almost fatal car accident and i wanted to let you know what happened. I was driving the car and then an animal came out of now where two days ago when I was driving on the road. You know that i am responsible driver. I was not drinking mom or speeding but somehow I could not stop the car when the animal jumped in front of my car. I hit the guard rail on the side of the road and i was so scared. i am so sorry you are finding out like this but please tell me how I can make up for destroying the car you bought me. i am sorry the front fender is totaled but mom I will pay for it I promise. please message me so we can figure out how to deal with this mom.,10,3,email
51,Hey everyone! I know we have have an IMPORTANT meeting today but I need to push it back a couple days. Today is just a very inconvenient day to have us all meet and I am telling you all this because I am an honest person. I got into a car accident and need to meet with a claims adjuster today but I promise we will set a new meeting soon between me and all you people I supervise. I'll be honest it might take us a little while to find a convenient time. And I know that this has messed with many people's schedules but I think you understand. And at least I HOPE you do. Pros of not meeting today: You get to have more time at work to do your scheduled assignments. Cons: We might have to meet after-hours and no one except me gets paid and I am telling you this to be honest like you know I am.,10,7,email
52,"Hey Friend! I am so sorry to do this over email but I could not reach you via text or through calling. I know you let me borrow your very expensive car and I am so grateful that you did but I have to let you know that I have crashed it. I am sorry but it is now completely broken and totaled. I was driving and I was rushing to work and there was a lot of traffic so I eneded up hitting a car when merging lanes. The person on the scene of the accident told me that car is totaled but I wanted to maybe see if we could take it to your insurance guy for a second opionion. I don't have much money and I've actually had to ask my Aunt for money for my dad. I will do anything in my power to pay you back the money to repair or buy a new car as soon as possible, Love, Your Friend.",10,6,email
53,"Hello mom, how have you been? I know that it's been a while since we have talked but I hope that you and the family are well! I actually wanted to talk to you about something very important regarding one of the accounts in your name. Many years ago, I opened an account under your name as you may remember and it is very important. I no longer have access to the current password and I know that I can call to do a reboot and get a new password but it might take too long and also because it is in your name they may ask questions. I know, that it has been years, but I was wondering Mom if you wouldn't mind giving me your password as I'm sure you still have it. If you're able to, let me know, and don't worry I won't change any of your settings. Hope to hear from you soon!",10,9,email
54,"Hey Auntie Evelyn, it's me. Unfortunately, I'm writing today because I have some news. I'm so embarrassed to admit but I have run into financial troubles and need some money. I'll get right to the point. I was driving recklessly on the freeway and hit an old lady's car. Turns out that I was an excluded on my parents, your brothers, insurance and so the insurance has denied the claim and will not pay. I'm very embarrassed to even ask but I was wondering if you would let me borrow $35,000 to pay the settlement off. I need it in two weeks because they said if I don't pay they will take me to court.  For whatever reason, they have also said that they will petition the court to take my passport, because they think I will run away. I promise I will not. If you could please help me out that would be great. If you decide to give me the money I can take it as a cashiers check as it is safer for both of us. Please feel free to let me know if you have any questions.",10,2,email
