"msg","creator","type"
"""I think we should head up to Gatlinburg. It's not that far of a drive and you can find places to stay that aren't too terribly expensive. You remember the last time we were there? That was a hoot. It will probably be a very different kind of trip with the kiddos, but probably more fun too for that matter."",","participant 2","email"
"""It's always a little bit of a toss-up between spring and fall just because they both have more reasonable temperatures, you know? Summer can fuck right off around here with that 100% humidity and winter, even if mild compared to some, is too cold. Fall wins though -- little bit less allergic to it."",","participant 2","email"
"""Way to go with that, by the way! I didn't know you had it in you! I mean, I didn't doubt it per se, but just didn't know you were interested in doing it at all, so it came as a bit of a surprise to hear about how well you did with it. I'll be sure to let you know if I hear of anything similar in the future"",","participant 2","email"
"""I think a new coffee maker would be perfect. The one I have is getting a bit dodgy. I mean, it works fine most of the time, but the sounds it makes are getting to be a little worrisome, like maybe it's just deciding on the day to quit. That would make for a lousy start to a day, whatever day it did."",","participant 2","email"
"""Mom, Dad, not enough thanking over the years... But I gotta thank you now for letting me make some of the mistakes I made."",","participant 2","tweet"
"""The best scene is the one at the very end -- you'll know it when you see it... Slow-motion, great song, absurd situation."",","participant 2","tweet"
"""Mom, Dad, just got the new bagpipes! I really cant imagine why you waited for me to leave the house to get them for me!"",","participant 2","tweet"
" ""Just got the package! I cant believe you remembered how much I loved that! Its got a place of honor over the fireplace."",","participant 2","tweet"
"""Mr Spacely, you know how Elroy got into that trouble? I hate to do this, but I really could use a raise to keep him out."",","participant 2","tweet"
" ""Mr. Slate, Wilma really has a problem and if we don't get some of the debtasauruses off our backs, it'll kill me. Raise?""","participant 2","tweet"
"""Not much will have changed then. L will be about to start high school -- Ill be very uncool."",","participant 2","text"
"""Not much different. Probably will have a new place to live though. Need a bigger bedroom."",","participant 2","text"
"""Do you have to keep biting your fingernails like that? There are clippers to make that easy."",","participant 2","text"
"""I'll be in a van down by the river, I'm sure. A bit thinner than the Farley character tho."",","participant 2","text"
""" You were asking what I would want for my birthday this year. I think that I would like for us to go out to dinner and a movie and just have some best friends time. We both seem to stay so busy that it is hard to find time to visit. How does Friday sound to you? Let me know."",","participant 3","email"
""" For my birthday this year, I am thinking about having a barbecue with the family and have some friends over. You can bring my favorite dessert if you want to. That would be the best present that I could get. You know how much I love it, and it would go great with the meal."",","participant 3","email"
"""I love to read your books. I think that the new FBI series that you have is so intense. I cant wait until your new book hits the stands. I know that it will keep me on the edge of my seat like all of your books have done. Keep up the good work. You have an amazing talent."",","participant 3","email"
""" Congratulations on your promotion. I think that you certainly deserve it. You have worked harder than anyone else in the company to get ahead. Enjoy your success and drink a toast for me. I know that you are going to keep climbing that ladder of success. Next year you may even rate a position on the board."",","participant 3","email"
""" How would you like to go to Hawaii for our vacation this year. It would be such a beautiful location and we could get away from all the stress that we have been under lately. We could sit on the beach and drink Mai Tai's. If we get to hot we can just go jump in the cool water. And the scenery would be amazing.""","participant 3","email"
" ""I was really amazed at the different culture of people from New York. They eat totally different foods."",","participant 3","tweet"
" ""I just wanted to thank you for the the afghan that you made for me. It is so beautiful and I will use it every day. It's awesome."",","participant 3","tweet"
" ""I wanted to thank you for the flowers. Carnations are my absolute favorite. I hope that they stay fresh for several day."",","participant 3","tweet"
"""In five years I see myself getting stronger because I will be healthier."",","participant 3","text"
""" I absolutely loved the present that you gave me Faye. I will use it every day. Best friends forever."",","participant 3","text"
""" I'm sorry but I wont be able to make it tomorrow. My hubby has a doctors appointment."",","participant 3","text"
""" In five years I hope to see myself living life a queen and being rich and famous."",","participant 3","text"
""" I know that you can't help getting involved with other peoples problems but it gets annoying."",","participant 3","text"
""" I have had such a horrible day at work. I am ready for Friday. It can't come quick enough."",","participant 3","text"
""" I can't come to your party on Saturday. I have to work overtime. Jane is sick, so I got called in.""","participant 3","text"
